[2022/05/01 23:42:20] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_dense', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='dense', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/01 23:42:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/02 01:57:57] - 42 	 266.1 	 	 0.0001 	 1.1240 	 0.5507 	 0.8125	 3316.1443 	 0.4508
[2022/05/02 02:02:41] - 43 	 264.8 	 	 0.0001 	 1.1218 	 0.5497 	 0.8148	 3335.2532 	 0.4594
[2022/05/02 02:07:25] - 44 	 264.6 	 	 0.0001 	 1.1189 	 0.5517 	 0.8172	 3341.6072 	 0.4594
[2022/05/02 02:12:08] - 45 	 264.4 	 	 0.0001 	 1.1146 	 0.5546 	 0.8180	 3352.6990 	 0.4531
[2022/05/02 02:16:51] - 46 	 264.1 	 	 0.0001 	 1.1128 	 0.5532 	 0.8195	 3367.1704 	 0.4578
[2022/05/02 02:21:36] - 47 	 265.8 	 	 0.0001 	 1.1098 	 0.5569 	 0.8176	 3360.7922 	 0.4559
[2022/05/02 02:26:19] - 48 	 264.5 	 	 0.0001 	 1.1072 	 0.5561 	 0.8230	 3380.0813 	 0.4523
[2022/05/02 02:31:01] - 49 	 263.0 	 	 0.0001 	 1.1044 	 0.5588 	 0.8133	 3385.5703 	 0.4543
[2022/05/02 02:31:01] - Total train time: 152.6671 minutes
[2022/05/02 02:31:01] - Best checkpoint at 43, 0.459375
