[2022/09/16 10:27:29] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/16 10:27:33] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/16 17:45:48] - 42 	 640.7 	 	 0.0500 	 1.2607 	 0.5179 	 0.7324	 2987.8665 	 0.3648
[2022/09/16 17:57:40] - 43 	 641.0 	 	 0.0500 	 1.2654 	 0.5183 	 0.6988	 2991.3630 	 0.3391
[2022/09/16 18:09:28] - 44 	 638.0 	 	 0.0500 	 1.2574 	 0.5224 	 0.6742	 2983.1797 	 0.3105
[2022/09/16 18:21:05] - 45 	 625.5 	 	 0.0500 	 1.2590 	 0.5206 	 0.7004	 2994.3162 	 0.3273
[2022/09/16 18:32:52] - 46 	 637.2 	 	 0.0500 	 1.2607 	 0.5211 	 0.7020	 2998.9336 	 0.3547
[2022/09/16 18:44:32] - 47 	 628.9 	 	 0.0500 	 1.2562 	 0.5225 	 0.7039	 2997.7559 	 0.3465
[2022/09/16 18:56:15] - 48 	 632.7 	 	 0.0500 	 1.2586 	 0.5206 	 0.6984	 2986.7117 	 0.3422
[2022/09/16 19:08:11] - 49 	 644.6 	 	 0.0050 	 1.2535 	 0.5223 	 0.7070	 3010.3992 	 0.3574
[2022/09/16 19:20:24] - 50 	 661.6 	 	 0.0050 	 1.2121 	 0.5305 	 0.8254	 3201.9363 	 0.4895
[2022/09/16 19:32:36] - 51 	 659.9 	 	 0.0050 	 1.1057 	 0.5653 	 0.8379	 3502.8997 	 0.4777
[2022/09/16 19:46:46] - 52 	 794.0 	 	 0.0050 	 0.4015 	 0.8576 	 0.8555	 10343.8672 	 0.0016
[2022/09/16 20:02:56] - 53 	 917.7 	 	 0.0050 	 0.0582 	 0.9873 	 0.8715	 11719.5752 	 0.0016
[2022/09/16 20:21:25] - 54 	 1060.3 	 	 0.0050 	 0.0187 	 0.9975 	 0.8156	 5525.8438 	 0.0000
[2022/09/16 20:39:48] - 55 	 1054.3 	 	 0.0050 	 0.0116 	 0.9986 	 0.8680	 3872.3728 	 0.0004
[2022/09/16 20:58:19] - 56 	 1058.0 	 	 0.0050 	 0.0076 	 0.9994 	 0.8547	 2588.4951 	 0.0008
[2022/09/16 21:16:34] - 57 	 1053.5 	 	 0.0050 	 0.0061 	 0.9996 	 0.8797	 2045.7704 	 0.0000
[2022/09/16 21:34:03] - 58 	 1006.9 	 	 0.0050 	 0.0050 	 0.9996 	 0.8449	 1686.5645 	 0.0000
[2022/09/16 21:51:33] - 59 	 1008.6 	 	 0.0050 	 0.0050 	 0.9998 	 0.8500	 1631.3499 	 0.0000
[2022/09/16 22:09:41] - 60 	 1033.9 	 	 0.0050 	 0.0048 	 0.9998 	 0.8617	 1507.6542 	 0.0012
[2022/09/16 22:28:03] - 61 	 1043.4 	 	 0.0050 	 0.0046 	 0.9998 	 0.8531	 1459.4525 	 0.0027
[2022/09/16 22:45:55] - 62 	 1023.6 	 	 0.0050 	 0.0046 	 0.9998 	 0.8547	 1445.0728 	 0.0004
[2022/09/16 23:03:29] - 63 	 1010.7 	 	 0.0050 	 0.0045 	 0.9999 	 0.8504	 1350.5944 	 0.0004
[2022/09/16 23:21:00] - 64 	 1001.4 	 	 0.0050 	 0.0047 	 0.9996 	 0.8348	 1448.7325 	 0.0016
[2022/09/16 23:38:53] - 65 	 1014.0 	 	 0.0050 	 0.0050 	 0.9997 	 0.8340	 1604.7340 	 0.0008
[2022/09/16 23:56:32] - 66 	 1012.9 	 	 0.0050 	 0.0045 	 0.9998 	 0.8598	 1422.5162 	 0.0004
[2022/09/17 00:14:39] - 67 	 1030.2 	 	 0.0050 	 0.0047 	 0.9997 	 0.8426	 1511.6115 	 0.0031
[2022/09/17 00:32:47] - 68 	 1038.0 	 	 0.0050 	 0.0048 	 0.9997 	 0.8629	 1566.3889 	 0.0004
