[2022/09/19 18:04:15] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 18:04:19] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/19 22:39:56] - 42 	 333.9 	 	 0.0500 	 0.8472 	 0.6587 	 0.8574	 6236.4292 	 0.2168
[2022/09/19 22:46:31] - 43 	 333.9 	 	 0.0500 	 0.8418 	 0.6664 	 0.8422	 6160.0708 	 0.1961
[2022/09/19 22:53:05] - 44 	 333.8 	 	 0.0500 	 0.8399 	 0.6661 	 0.8152	 6218.2705 	 0.1754
[2022/09/19 22:59:40] - 45 	 333.7 	 	 0.0500 	 0.8399 	 0.6628 	 0.8168	 6212.8823 	 0.2285
[2022/09/19 23:06:14] - 46 	 333.8 	 	 0.0500 	 0.8413 	 0.6632 	 0.8324	 6259.5054 	 0.2031
[2022/09/19 23:12:49] - 47 	 333.9 	 	 0.0500 	 0.8325 	 0.6665 	 0.8133	 6179.6758 	 0.2148
[2022/09/19 23:19:23] - 48 	 333.8 	 	 0.0500 	 0.8350 	 0.6658 	 0.8512	 6197.2930 	 0.1812
[2022/09/19 23:25:58] - 49 	 333.8 	 	 0.0050 	 0.8354 	 0.6645 	 0.8461	 6238.7280 	 0.1961
[2022/09/19 23:32:33] - 50 	 333.9 	 	 0.0050 	 0.6444 	 0.7527 	 0.9125	 4731.8672 	 0.3000
[2022/09/19 23:39:07] - 51 	 333.7 	 	 0.0050 	 0.5398 	 0.7934 	 0.9184	 4521.3320 	 0.3051
[2022/09/19 23:45:42] - 52 	 333.7 	 	 0.0050 	 0.4913 	 0.8083 	 0.9156	 4449.1035 	 0.3148
[2022/09/19 23:53:05] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 23:53:08] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/19 23:55:52] - 0 	 110.6 	 	 0.1000 	 1.5642 	 0.4212 	 0.4941	 5389.4521 	 0.0047
[2022/09/20 00:00:36] - 1 	 223.3 	 	 0.1000 	 1.4806 	 0.4477 	 0.6031	 5542.8516 	 0.0660
[2022/09/20 00:05:21] - 2 	 223.3 	 	 0.1000 	 1.2556 	 0.5332 	 0.6672	 6219.1689 	 0.1238
[2022/09/20 00:11:57] - 3 	 334.9 	 	 0.1000 	 1.4218 	 0.4621 	 0.6906	 5220.7920 	 0.1602
[2022/09/20 00:18:33] - 4 	 334.7 	 	 0.1000 	 1.3418 	 0.4932 	 0.6402	 5317.9888 	 0.1473
[2022/09/20 00:25:08] - 5 	 334.4 	 	 0.1000 	 1.2943 	 0.5105 	 0.7215	 5432.4741 	 0.1562
[2022/09/20 00:31:44] - 6 	 334.4 	 	 0.1000 	 1.2567 	 0.5240 	 0.6969	 5541.3823 	 0.1445
[2022/09/20 00:38:19] - 7 	 334.4 	 	 0.1000 	 1.2248 	 0.5348 	 0.6883	 5554.6558 	 0.1281
[2022/09/20 00:44:54] - 8 	 334.2 	 	 0.1000 	 1.2040 	 0.5436 	 0.6965	 5659.7402 	 0.1688
[2022/09/20 00:51:29] - 9 	 334.2 	 	 0.1000 	 1.1831 	 0.5474 	 0.7203	 5701.9062 	 0.1730
[2022/09/20 00:58:04] - 10 	 334.1 	 	 0.1000 	 1.1672 	 0.5549 	 0.7145	 5753.4707 	 0.1293
[2022/09/20 01:04:39] - 11 	 334.0 	 	 0.1000 	 1.1521 	 0.5611 	 0.6562	 5751.2061 	 0.1344
[2022/09/20 01:11:14] - 12 	 334.1 	 	 0.1000 	 1.1447 	 0.5629 	 0.7047	 5796.0039 	 0.1469
[2022/09/20 01:17:49] - 13 	 334.2 	 	 0.1000 	 1.1318 	 0.5659 	 0.7184	 5868.3501 	 0.1672
[2022/09/20 01:24:24] - 14 	 334.1 	 	 0.1000 	 1.1193 	 0.5712 	 0.7312	 5843.2183 	 0.1488
[2022/09/20 01:30:59] - 15 	 334.1 	 	 0.1000 	 1.1168 	 0.5721 	 0.6867	 5907.2314 	 0.1383
[2022/09/20 01:37:34] - 16 	 334.1 	 	 0.1000 	 1.1190 	 0.5695 	 0.7609	 5895.0347 	 0.1441
[2022/09/20 01:44:08] - 17 	 334.0 	 	 0.1000 	 1.1066 	 0.5754 	 0.7566	 5879.7583 	 0.1574
[2022/09/20 01:50:43] - 18 	 334.0 	 	 0.1000 	 1.1014 	 0.5768 	 0.7324	 5913.8184 	 0.1996
[2022/09/20 01:57:18] - 19 	 334.1 	 	 0.1000 	 1.0978 	 0.5775 	 0.6844	 5933.0776 	 0.1223
[2022/09/20 02:03:52] - 20 	 333.6 	 	 0.1000 	 1.0967 	 0.5774 	 0.7289	 5971.7739 	 0.1418
[2022/09/20 02:10:27] - 21 	 333.7 	 	 0.1000 	 1.0865 	 0.5818 	 0.7332	 5972.1880 	 0.1523
[2022/09/20 02:17:01] - 22 	 333.8 	 	 0.1000 	 1.0847 	 0.5827 	 0.6898	 5961.2925 	 0.1449
[2022/09/20 02:23:36] - 23 	 333.9 	 	 0.1000 	 1.0849 	 0.5832 	 0.7043	 5983.1069 	 0.1598
[2022/09/20 02:30:10] - 24 	 333.7 	 	 0.1000 	 1.0898 	 0.5832 	 0.7242	 5906.1006 	 0.1375
[2022/09/20 02:36:44] - 25 	 333.5 	 	 0.1000 	 1.0867 	 0.5822 	 0.7051	 6016.5332 	 0.1715
[2022/09/20 02:43:19] - 26 	 333.7 	 	 0.1000 	 1.0796 	 0.5844 	 0.7820	 5960.6875 	 0.1707
[2022/09/20 02:49:53] - 27 	 333.6 	 	 0.1000 	 1.0774 	 0.5829 	 0.7695	 6021.4458 	 0.1746
[2022/09/20 02:56:27] - 28 	 333.5 	 	 0.1000 	 1.0774 	 0.5856 	 0.7207	 6004.5742 	 0.1711
[2022/09/20 03:03:02] - 29 	 333.5 	 	 0.1000 	 1.0779 	 0.5830 	 0.6922	 6021.6040 	 0.1508
[2022/09/20 03:09:36] - 30 	 333.4 	 	 0.1000 	 1.0745 	 0.5871 	 0.7602	 5954.9580 	 0.1598
[2022/09/20 03:16:09] - 31 	 333.3 	 	 0.1000 	 1.0735 	 0.5861 	 0.7820	 5953.3931 	 0.1863
[2022/09/20 03:22:44] - 32 	 333.5 	 	 0.1000 	 1.0783 	 0.5853 	 0.7535	 5992.5786 	 0.1570
[2022/09/20 03:29:17] - 33 	 333.3 	 	 0.1000 	 1.0723 	 0.5847 	 0.6816	 6008.0303 	 0.1688
[2022/09/20 03:35:51] - 34 	 333.2 	 	 0.1000 	 1.0756 	 0.5874 	 0.7348	 5960.3477 	 0.1437
[2022/09/20 03:42:25] - 35 	 333.2 	 	 0.1000 	 1.0682 	 0.5894 	 0.7770	 6000.3901 	 0.1938
[2022/09/20 03:48:59] - 36 	 333.1 	 	 0.1000 	 1.0661 	 0.5914 	 0.7352	 5972.6362 	 0.1609
[2022/09/20 03:55:32] - 37 	 332.9 	 	 0.1000 	 1.0700 	 0.5873 	 0.7703	 5980.1289 	 0.1629
[2022/09/20 04:02:05] - 38 	 332.9 	 	 0.1000 	 1.0702 	 0.5855 	 0.7531	 6039.3926 	 0.1441
[2022/09/20 04:08:39] - 39 	 333.0 	 	 0.1000 	 1.0636 	 0.5920 	 0.7496	 5983.9585 	 0.1719
[2022/09/20 04:15:12] - 40 	 332.8 	 	 0.1000 	 1.0638 	 0.5896 	 0.7570	 5975.0713 	 0.1773
[2022/09/20 04:21:46] - 41 	 332.8 	 	 0.1000 	 1.0680 	 0.5894 	 0.6809	 6033.9531 	 0.1273
[2022/09/20 04:28:19] - 42 	 332.7 	 	 0.1000 	 1.0698 	 0.5868 	 0.7785	 6009.8140 	 0.1617
[2022/09/20 04:34:53] - 43 	 333.0 	 	 0.1000 	 1.0709 	 0.5895 	 0.7672	 5963.9756 	 0.1512
[2022/09/20 04:41:26] - 44 	 333.1 	 	 0.1000 	 1.0692 	 0.5891 	 0.7223	 6021.2295 	 0.1547
[2022/09/20 04:48:00] - 45 	 333.1 	 	 0.1000 	 1.0703 	 0.5889 	 0.7539	 6024.7676 	 0.1758
[2022/09/20 04:54:33] - 46 	 332.9 	 	 0.1000 	 1.0682 	 0.5878 	 0.7695	 6060.5425 	 0.1633
