[2022/09/15 16:45:50] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=100, epsilon=8, fname='output_wide', gamma=1.01, init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='mdeat_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/15 16:45:56] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/09/15 22:51:56] - 42 	 471.0 	 	 0.1000 	 1.5143 	 0.4215 	 0.6629	 2873.1477 	 0.3027
[2022/09/15 23:00:51] - 43 	 470.8 	 	 0.1000 	 1.5161 	 0.4209 	 0.6660	 2889.9287 	 0.3133
[2022/09/15 23:09:46] - 44 	 470.6 	 	 0.1000 	 1.5092 	 0.4265 	 0.6402	 2888.0557 	 0.3070
[2022/09/15 23:18:40] - 45 	 470.3 	 	 0.1000 	 1.5110 	 0.4250 	 0.6152	 2876.3875 	 0.2945
[2022/09/15 23:27:54] - 46 	 486.5 	 	 0.1000 	 1.5149 	 0.4240 	 0.6590	 2893.0093 	 0.3051
[2022/09/15 23:37:16] - 47 	 494.8 	 	 0.1000 	 1.5110 	 0.4237 	 0.6086	 2883.3499 	 0.3180
[2022/09/15 23:46:39] - 48 	 494.8 	 	 0.1000 	 1.5111 	 0.4242 	 0.6133	 2882.4500 	 0.2852
[2022/09/15 23:56:02] - 49 	 495.2 	 	 0.0100 	 1.5125 	 0.4234 	 0.6520	 2896.8733 	 0.3180
[2022/09/16 00:05:24] - 50 	 494.7 	 	 0.0100 	 1.3863 	 0.4679 	 0.8016	 2997.2246 	 0.4480
[2022/09/16 00:16:51] - 51 	 618.5 	 	 0.0100 	 1.2893 	 0.4994 	 0.8012	 3092.5591 	 0.4430
[2022/09/16 00:30:21] - 52 	 742.1 	 	 0.0100 	 1.2202 	 0.5267 	 0.7840	 3014.2651 	 0.4562
[2022/09/16 00:43:51] - 53 	 741.9 	 	 0.0100 	 1.1759 	 0.5448 	 0.7840	 3044.0681 	 0.4473
[2022/09/16 00:57:21] - 54 	 742.4 	 	 0.0100 	 1.1347 	 0.5604 	 0.7734	 3136.9697 	 0.4121
[2022/09/16 01:12:21] - 55 	 866.4 	 	 0.0100 	 0.3814 	 0.8695 	 0.8176	 11381.7061 	 0.0000
[2022/09/16 01:29:42] - 56 	 990.1 	 	 0.0100 	 0.0355 	 0.9938 	 0.7930	 8902.3027 	 0.0020
[2022/09/16 01:46:40] - 57 	 989.9 	 	 0.0100 	 0.0336 	 0.9945 	 0.7555	 9986.0967 	 0.0000
[2022/09/16 02:03:45] - 58 	 990.4 	 	 0.0100 	 0.0367 	 0.9946 	 0.7859	 12213.2197 	 0.0000
[2022/09/16 02:20:40] - 59 	 989.7 	 	 0.0100 	 0.0330 	 0.9954 	 0.7789	 11429.7705 	 0.0000
[2022/09/16 02:37:39] - 60 	 990.0 	 	 0.0100 	 0.0288 	 0.9958 	 0.7801	 10463.7090 	 0.0000
[2022/09/16 02:54:47] - 61 	 990.5 	 	 0.0100 	 0.0269 	 0.9957 	 0.8047	 9945.8857 	 0.0012
[2022/09/16 03:11:54] - 62 	 991.4 	 	 0.0100 	 0.0244 	 0.9964 	 0.7910	 9096.0977 	 0.0000
[2022/09/16 03:28:55] - 63 	 990.6 	 	 0.0100 	 0.0224 	 0.9969 	 0.7922	 8422.9170 	 0.0000
[2022/09/16 03:45:51] - 64 	 990.3 	 	 0.0100 	 0.0210 	 0.9973 	 0.7832	 7923.6343 	 0.0000
[2022/09/16 04:02:56] - 65 	 991.3 	 	 0.0100 	 0.0204 	 0.9975 	 0.7781	 7649.7534 	 0.0000
[2022/09/16 04:19:59] - 66 	 991.4 	 	 0.0100 	 0.0204 	 0.9975 	 0.7445	 7874.7959 	 0.0000
[2022/09/16 04:37:04] - 67 	 991.8 	 	 0.0100 	 0.0188 	 0.9975 	 0.8250	 7176.6670 	 0.0000
[2022/09/16 04:54:09] - 68 	 992.9 	 	 0.0100 	 0.0185 	 0.9975 	 0.7812	 7218.6338 	 0.0000
[2022/09/16 05:11:15] - 69 	 991.7 	 	 0.0100 	 0.0150 	 0.9982 	 0.8086	 6053.9287 	 0.0000
[2022/09/16 05:28:16] - 70 	 992.0 	 	 0.0100 	 0.0129 	 0.9986 	 0.8320	 5192.0713 	 0.0000
[2022/09/16 05:45:22] - 71 	 995.2 	 	 0.0100 	 0.0123 	 0.9987 	 0.7855	 4761.1221 	 0.0000
[2022/09/16 06:02:22] - 72 	 995.1 	 	 0.0100 	 0.0118 	 0.9986 	 0.7977	 4698.4370 	 0.0000
[2022/09/16 06:19:32] - 73 	 993.1 	 	 0.0100 	 0.0110 	 0.9991 	 0.7977	 4340.4194 	 0.0000
[2022/09/16 06:36:40] - 74 	 996.4 	 	 0.0010 	 0.0109 	 0.9990 	 0.8184	 4359.9941 	 0.0000
[2022/09/16 06:53:44] - 75 	 991.1 	 	 0.0010 	 0.0305 	 0.9919 	 0.8840	 12203.1621 	 0.0000
[2022/09/16 07:10:54] - 76 	 991.2 	 	 0.0010 	 0.0159 	 0.9963 	 0.8820	 7717.0908 	 0.0004
[2022/09/16 07:28:09] - 77 	 992.5 	 	 0.0010 	 0.0133 	 0.9969 	 0.8781	 6809.2671 	 0.0004
[2022/09/16 07:45:21] - 78 	 992.9 	 	 0.0010 	 0.0097 	 0.9982 	 0.8688	 5306.1763 	 0.0000
[2022/09/16 08:02:43] - 79 	 993.5 	 	 0.0010 	 0.0081 	 0.9985 	 0.8871	 4648.9980 	 0.0023
[2022/09/16 08:20:11] - 80 	 999.6 	 	 0.0010 	 0.0061 	 0.9990 	 0.8848	 3484.4963 	 0.0004
[2022/09/16 08:37:34] - 81 	 992.7 	 	 0.0010 	 0.0052 	 0.9991 	 0.8914	 2936.3374 	 0.0012
[2022/09/16 08:55:00] - 82 	 994.8 	 	 0.0010 	 0.0048 	 0.9994 	 0.8906	 2638.2261 	 0.0016
[2022/09/16 09:12:29] - 83 	 1000.9 	 	 0.0010 	 0.0038 	 0.9997 	 0.8691	 2155.6326 	 0.0004
[2022/09/16 09:29:59] - 84 	 999.1 	 	 0.0010 	 0.0039 	 0.9993 	 0.8742	 2248.3772 	 0.0004
[2022/09/16 09:47:36] - 85 	 1006.1 	 	 0.0010 	 0.0031 	 0.9997 	 0.8707	 1800.0438 	 0.0000
[2022/09/16 10:05:13] - 86 	 1004.6 	 	 0.0010 	 0.0029 	 0.9997 	 0.8816	 1684.5853 	 0.0012
[2022/09/16 10:22:44] - 87 	 1000.7 	 	 0.0010 	 0.0029 	 0.9996 	 0.8547	 1718.1219 	 0.0004
