[2022/09/19 23:51:42] - Namespace(batch_size=128, beta=6.0, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', epochs=100, epsilon=8.0, fname='output_wide', gamma=1.01, lr=0.1, model='wide', momentum=0.9, normalization='std', num_steps=10, out_dir='mmart_out', save_model=True, seed=0, step_size=2.0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 23:51:42] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Val Acc	 MG 	 PGD Acc
[2022/09/20 13:46:16] - 48 	 1201.7 	 	 0.1000 	 1.9054 	 0.7070 	 2.8965	 0.4344
[2022/09/20 14:07:33] - 49 	 1202.7 	 	 0.1000 	 1.7408 	 0.7203 	 2.7718	 0.4562
[2022/09/20 14:28:54] - 50 	 1206.9 	 	 0.0100 	 1.3161 	 0.7777 	 1.9410	 0.5207
[2022/09/20 14:50:18] - 51 	 1209.0 	 	 0.0100 	 1.3443 	 0.7949 	 2.2384	 0.5234
[2022/09/20 15:11:45] - 52 	 1211.9 	 	 0.0100 	 1.3356 	 0.7867 	 1.8736	 0.5246
[2022/09/20 15:33:16] - 53 	 1216.0 	 	 0.0100 	 1.5245 	 0.8070 	 3.3398	 0.5234
[2022/09/20 15:54:40] - 54 	 1209.7 	 	 0.0100 	 1.4468 	 0.8070 	 2.6662	 0.5281
[2022/09/20 16:19:10] - 55 	 1382.8 	 	 0.0100 	 1.2286 	 0.7926 	 1.8735	 0.5219
[2022/09/20 16:41:55] - 56 	 1279.0 	 	 0.0100 	 1.2024 	 0.8063 	 2.0813	 0.5293
[2022/09/20 17:06:31] - 57 	 1399.2 	 	 0.0100 	 1.2555 	 0.8020 	 2.2402	 0.5262
[2022/09/20 17:30:16] - 58 	 1338.0 	 	 0.0100 	 1.5318 	 0.7883 	 3.2915	 0.5180
[2022/09/20 17:55:09] - 59 	 1406.1 	 	 0.0100 	 1.4355 	 0.7949 	 2.9880	 0.5184
[2022/09/20 18:20:35] - 60 	 1437.6 	 	 0.0100 	 1.2291 	 0.7945 	 2.0513	 0.5172
[2022/09/20 18:43:35] - 61 	 1304.6 	 	 0.0100 	 1.3292 	 0.8105 	 2.8544	 0.5215
[2022/09/20 19:05:16] - 62 	 1225.8 	 	 0.0100 	 1.2721 	 0.7988 	 2.5082	 0.5238
[2022/09/20 19:26:57] - 63 	 1224.8 	 	 0.0100 	 1.3232 	 0.7953 	 2.5052	 0.5125
[2022/09/20 19:48:38] - 64 	 1225.8 	 	 0.0100 	 1.3139 	 0.8184 	 3.1998	 0.5070
[2022/09/20 20:10:23] - 65 	 1229.9 	 	 0.0100 	 1.2618 	 0.8047 	 2.1312	 0.5074
[2022/09/20 20:32:04] - 66 	 1225.1 	 	 0.0100 	 1.5095 	 0.8246 	 3.5760	 0.5137
[2022/09/20 20:55:59] - 67 	 1359.7 	 	 0.0100 	 1.4642 	 0.7996 	 3.4279	 0.5133
[2022/09/20 21:19:53] - 68 	 1358.9 	 	 0.0100 	 1.3334 	 0.8098 	 3.3337	 0.5086
[2022/09/20 21:43:46] - 69 	 1357.5 	 	 0.0100 	 1.4208 	 0.8035 	 3.4443	 0.5078
[2022/09/20 22:07:36] - 70 	 1355.2 	 	 0.0100 	 1.3406 	 0.8063 	 2.6453	 0.5094
[2022/09/20 22:31:29] - 71 	 1357.2 	 	 0.0100 	 1.3368 	 0.8160 	 3.6042	 0.5023
[2022/09/20 22:55:17] - 72 	 1353.5 	 	 0.0100 	 1.2693 	 0.8102 	 2.7629	 0.5234
[2022/09/20 23:17:31] - 73 	 1261.3 	 	 0.0100 	 1.1754 	 0.8172 	 2.0046	 0.5113
[2022/09/20 23:40:44] - 74 	 1319.4 	 	 0.0100 	 1.2249 	 0.8141 	 2.8525	 0.5023
[2022/09/21 00:03:56] - 75 	 1318.8 	 	 0.0100 	 1.4158 	 0.8039 	 3.5504	 0.5141
[2022/09/21 00:27:05] - 76 	 1316.2 	 	 0.0100 	 1.0862 	 0.8125 	 1.9902	 0.4980
[2022/09/21 00:50:12] - 77 	 1313.7 	 	 0.0100 	 1.2848 	 0.8160 	 2.8306	 0.4867
[2022/09/21 01:14:39] - 78 	 1387.9 	 	 0.0100 	 1.2410 	 0.7930 	 2.2477	 0.5004
[2022/09/21 01:41:59] - 79 	 1554.1 	 	 0.0100 	 1.0395 	 0.8020 	 2.0262	 0.5027
[2022/09/21 02:09:11] - 80 	 1548.3 	 	 0.0010 	 0.8656 	 0.8289 	 1.6819	 0.5328
[2022/09/21 02:35:57] - 81 	 1532.4 	 	 0.0010 	 0.8397 	 0.8309 	 1.7272	 0.5270
[2022/09/21 03:02:34] - 82 	 1511.7 	 	 0.0010 	 1.0421 	 0.8430 	 2.5642	 0.5230
[2022/09/21 03:26:42] - 83 	 1388.0 	 	 0.0010 	 0.7588 	 0.8410 	 1.2804	 0.5328
[2022/09/21 03:45:33] - 84 	 1071.6 	 	 0.0010 	 0.7543 	 0.8410 	 1.7026	 0.5277
[2022/09/21 04:06:14] - 85 	 1173.4 	 	 0.0010 	 0.9712 	 0.8395 	 2.7548	 0.5117
[2022/09/21 04:26:50] - 86 	 1172.2 	 	 0.0010 	 1.0372 	 0.8457 	 3.2036	 0.5086
