[2022/09/16 20:23:24] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='wide', momentum=0.9, normalization='std', out_dir='pgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/16 20:23:28] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 PGD Acc 	 CW Acc
[2022/09/17 07:34:38] - 42 	 873.8 	 	 0.1000 	 1.2474 	 0.5203 	 0.7840	 0.4766
[2022/09/17 07:50:14] - 43 	 873.9 	 	 0.1000 	 1.2496 	 0.5180 	 0.7547	 0.4695
[2022/09/17 08:05:48] - 44 	 873.8 	 	 0.1000 	 1.2439 	 0.5211 	 0.7652	 0.4512
[2022/09/17 08:21:23] - 45 	 873.8 	 	 0.1000 	 1.2420 	 0.5236 	 0.7777	 0.4832
[2022/09/17 08:36:58] - 46 	 874.0 	 	 0.1000 	 1.2412 	 0.5234 	 0.7730	 0.4602
[2022/09/17 08:52:33] - 47 	 874.0 	 	 0.1000 	 1.2367 	 0.5222 	 0.7727	 0.4523
[2022/09/17 09:08:07] - 48 	 873.8 	 	 0.1000 	 1.2381 	 0.5239 	 0.7781	 0.4637
[2022/09/17 09:23:42] - 49 	 873.9 	 	 0.0100 	 1.2313 	 0.5240 	 0.7750	 0.4566
[2022/09/17 09:39:17] - 50 	 874.1 	 	 0.0100 	 0.9803 	 0.6189 	 0.8375	 0.5473
[2022/09/17 09:54:52] - 51 	 874.3 	 	 0.0100 	 0.8848 	 0.6483 	 0.8539	 0.5434
[2022/09/17 10:10:27] - 52 	 874.4 	 	 0.0100 	 0.8421 	 0.6634 	 0.8609	 0.5348
[2022/09/17 10:26:03] - 53 	 874.5 	 	 0.0100 	 0.8017 	 0.6771 	 0.8625	 0.5488
[2022/09/17 10:41:38] - 54 	 874.4 	 	 0.0100 	 0.7699 	 0.6898 	 0.8570	 0.5375
[2022/09/17 10:57:14] - 55 	 874.5 	 	 0.0100 	 0.7439 	 0.6976 	 0.8621	 0.5383
[2022/09/17 11:12:49] - 56 	 874.9 	 	 0.0100 	 0.7186 	 0.7054 	 0.8613	 0.5402
[2022/09/17 11:28:25] - 57 	 875.2 	 	 0.0100 	 0.6929 	 0.7152 	 0.8590	 0.5379
[2022/09/17 11:44:01] - 58 	 875.1 	 	 0.0100 	 0.6737 	 0.7219 	 0.8555	 0.5250
[2022/09/17 11:59:37] - 59 	 875.0 	 	 0.0100 	 0.6601 	 0.7269 	 0.8484	 0.5363
[2022/09/17 12:15:13] - 60 	 874.9 	 	 0.0100 	 0.6396 	 0.7340 	 0.8570	 0.5250
[2022/09/17 12:30:49] - 61 	 875.1 	 	 0.0100 	 0.6232 	 0.7405 	 0.8590	 0.5266
[2022/09/17 12:46:25] - 62 	 875.1 	 	 0.0100 	 0.6067 	 0.7457 	 0.8613	 0.5203
[2022/09/17 13:02:01] - 63 	 875.5 	 	 0.0100 	 0.6001 	 0.7451 	 0.8445	 0.5191
[2022/09/17 13:17:38] - 64 	 875.7 	 	 0.0100 	 0.5894 	 0.7496 	 0.8582	 0.5164
[2022/09/17 13:33:14] - 65 	 875.8 	 	 0.0100 	 0.5758 	 0.7545 	 0.8559	 0.5121
[2022/09/17 13:48:51] - 66 	 875.5 	 	 0.0100 	 0.5675 	 0.7594 	 0.8605	 0.5156
[2022/09/17 14:04:27] - 67 	 875.5 	 	 0.0100 	 0.5584 	 0.7605 	 0.8512	 0.5148
[2022/09/17 14:20:04] - 68 	 875.9 	 	 0.0100 	 0.5488 	 0.7625 	 0.8582	 0.5105
[2022/09/17 14:35:40] - 69 	 875.9 	 	 0.0100 	 0.5350 	 0.7686 	 0.8555	 0.5094
[2022/09/17 14:51:17] - 70 	 875.9 	 	 0.0100 	 0.5376 	 0.7689 	 0.8457	 0.5062
[2022/09/17 15:06:54] - 71 	 875.6 	 	 0.0100 	 0.5207 	 0.7762 	 0.8465	 0.4973
[2022/09/17 15:22:30] - 72 	 875.6 	 	 0.0100 	 0.5125 	 0.7770 	 0.8535	 0.5016
[2022/09/17 15:38:07] - 73 	 875.8 	 	 0.0100 	 0.5050 	 0.7798 	 0.8566	 0.5082
[2022/09/17 15:53:44] - 74 	 875.9 	 	 0.0010 	 0.5040 	 0.7822 	 0.8543	 0.5129
[2022/09/17 16:09:21] - 75 	 876.0 	 	 0.0010 	 0.3538 	 0.8503 	 0.8648	 0.5180
[2022/09/17 16:24:57] - 76 	 876.0 	 	 0.0010 	 0.2874 	 0.8767 	 0.8668	 0.5055
[2022/09/17 16:40:34] - 77 	 875.8 	 	 0.0010 	 0.2626 	 0.8863 	 0.8605	 0.5094
[2022/09/17 16:56:11] - 78 	 875.8 	 	 0.0010 	 0.2442 	 0.8934 	 0.8586	 0.5059
[2022/09/17 17:11:47] - 79 	 875.8 	 	 0.0010 	 0.2303 	 0.8999 	 0.8590	 0.5168
[2022/09/17 17:27:24] - 80 	 875.7 	 	 0.0010 	 0.2203 	 0.9043 	 0.8598	 0.5062
[2022/09/17 17:43:00] - 81 	 875.6 	 	 0.0010 	 0.2108 	 0.9082 	 0.8609	 0.5004
[2022/09/17 17:58:37] - 82 	 875.7 	 	 0.0010 	 0.1998 	 0.9136 	 0.8602	 0.5078
[2022/09/17 18:14:14] - 83 	 876.1 	 	 0.0010 	 0.1913 	 0.9153 	 0.8637	 0.5078
[2022/09/17 18:29:51] - 84 	 876.0 	 	 0.0010 	 0.1850 	 0.9191 	 0.8609	 0.5082
[2022/09/17 18:45:27] - 85 	 875.9 	 	 0.0010 	 0.1784 	 0.9224 	 0.8625	 0.5012
[2022/09/17 19:01:04] - 86 	 876.0 	 	 0.0010 	 0.1717 	 0.9253 	 0.8680	 0.5039
[2022/09/17 19:16:41] - 87 	 876.2 	 	 0.0010 	 0.1650 	 0.9279 	 0.8641	 0.4957
[2022/09/17 19:32:19] - 88 	 876.2 	 	 0.0010 	 0.1577 	 0.9312 	 0.8613	 0.4938
[2022/09/17 19:47:55] - 89 	 876.1 	 	 0.0010 	 0.1546 	 0.9323 	 0.8609	 0.5000
[2022/09/17 20:03:32] - 90 	 875.6 	 	 0.0010 	 0.1487 	 0.9346 	 0.8629	 0.4965
[2022/09/17 20:19:08] - 91 	 875.4 	 	 0.0010 	 0.1435 	 0.9377 	 0.8543	 0.5070
[2022/09/17 20:34:44] - 92 	 875.3 	 	 0.0010 	 0.1403 	 0.9397 	 0.8598	 0.4984
[2022/09/17 20:50:20] - 93 	 875.0 	 	 0.0010 	 0.1365 	 0.9407 	 0.8598	 0.5023
[2022/09/17 21:05:56] - 94 	 875.0 	 	 0.0010 	 0.1319 	 0.9425 	 0.8582	 0.5008
[2022/09/17 21:21:31] - 95 	 874.8 	 	 0.0010 	 0.1262 	 0.9455 	 0.8621	 0.4930
[2022/09/17 21:37:07] - 96 	 875.0 	 	 0.0010 	 0.1246 	 0.9454 	 0.8602	 0.5020
[2022/09/17 21:52:43] - 97 	 874.9 	 	 0.0010 	 0.1204 	 0.9474 	 0.8660	 0.5000
[2022/09/17 22:08:18] - 98 	 875.0 	 	 0.0010 	 0.1189 	 0.9492 	 0.8547	 0.4941
[2022/09/17 22:23:54] - 99 	 875.0 	 	 0.0010 	 0.1140 	 0.9512 	 0.8578	 0.5027
[2022/09/17 22:23:54] - Total train time: 1458.8582 minutes
[2022/09/17 22:23:54] - Best checkpoint at 53, 0.548828125
