[2022/05/24 19:43:30] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_zero_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 19:43:33] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 21:17:21] - 42 	 181.6 	 	 0.0005 	 1.0238 	 0.5897 	 0.8313	 3108.2952 	 0.4840
[2022/05/24 21:20:37] - 43 	 182.5 	 	 0.0005 	 1.0012 	 0.5988 	 0.8324	 3116.4421 	 0.4805
[2022/05/24 21:23:52] - 44 	 182.1 	 	 0.0005 	 0.9802 	 0.6071 	 0.8207	 3135.8516 	 0.4918
[2022/05/24 21:27:07] - 45 	 182.7 	 	 0.0005 	 0.9677 	 0.6117 	 0.8434	 3164.2759 	 0.4883
[2022/05/24 21:30:23] - 46 	 182.6 	 	 0.0005 	 0.9485 	 0.6160 	 0.8383	 3173.8757 	 0.4805
[2022/05/24 21:33:37] - 47 	 181.7 	 	 0.0005 	 0.9331 	 0.6217 	 0.8410	 3188.8303 	 0.4859
[2022/05/24 21:36:52] - 48 	 182.0 	 	 0.0005 	 0.9176 	 0.6285 	 0.8391	 3211.1965 	 0.4793
[2022/05/24 21:40:06] - 49 	 181.4 	 	 0.0005 	 0.9051 	 0.6328 	 0.8398	 3219.9890 	 0.4832
[2022/05/24 21:40:06] - Total train time: 105.9044 minutes
[2022/05/24 21:40:06] - Best checkpoint at 40, 0.49609375
