[2022/05/24 21:40:07] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='normal', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_normal_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 21:40:11] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 22:50:25] - 42 	 137.7 	 	 0.0005 	 0.9688 	 0.6045 	 0.8551	 4105.7021 	 0.4746
[2022/05/24 22:53:18] - 43 	 160.3 	 	 0.0005 	 0.9413 	 0.6126 	 0.8539	 4098.2500 	 0.4801
[2022/05/24 22:56:11] - 44 	 159.8 	 	 0.0005 	 0.9172 	 0.6209 	 0.8496	 4170.5225 	 0.4660
[2022/05/24 22:59:26] - 45 	 181.8 	 	 0.0005 	 0.8789 	 0.6355 	 0.8547	 4303.6748 	 0.4574
[2022/05/24 23:02:40] - 46 	 181.8 	 	 0.0005 	 0.8405 	 0.6495 	 0.8559	 4595.9502 	 0.4137
[2022/05/24 23:05:55] - 47 	 182.1 	 	 0.0005 	 0.4701 	 0.8167 	 0.6777	 8616.5820 	 0.0613
[2022/05/24 23:09:10] - 48 	 182.2 	 	 0.0005 	 0.0724 	 0.9834 	 0.8082	 10740.8145 	 0.0652
[2022/05/24 23:12:22] - 49 	 180.0 	 	 0.0005 	 0.0439 	 0.9906 	 0.8832	 8514.2070 	 0.0609
[2022/05/24 23:12:22] - Total train time: 81.5745 minutes
[2022/05/24 23:12:22] - Best checkpoint at 43, 0.480078125
