[2022/09/15 23:20:06] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=10, min_iteration=2, model='wide', momentum=0.9, normalization='std', out_dir='amata_out', save_model=True, seed=0, tau=20, weight_decay=0.0005, wide_factor=10)
[2022/09/15 23:20:10] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 PGD Acc 	 CW Acc
[2022/09/16 05:06:53] - 41 	 654.0 	 	 0.1000 	 1.5474 	 0.4142 	 0.7082	 0.3988
[2022/09/16 05:18:47] - 42 	 653.7 	 	 0.1000 	 1.5238 	 0.4234 	 0.7086	 0.4074
[2022/09/16 05:30:42] - 43 	 654.1 	 	 0.1000 	 1.5010 	 0.4307 	 0.6898	 0.4090
[2022/09/16 05:42:37] - 44 	 654.2 	 	 0.1000 	 1.4794 	 0.4389 	 0.7184	 0.3887
[2022/09/16 05:54:32] - 45 	 654.3 	 	 0.1000 	 1.4624 	 0.4442 	 0.7309	 0.4203
[2022/09/16 06:06:27] - 46 	 654.4 	 	 0.1000 	 1.4518 	 0.4512 	 0.7160	 0.4164
[2022/09/16 06:18:22] - 47 	 654.3 	 	 0.1000 	 1.4339 	 0.4574 	 0.7148	 0.4238
[2022/09/16 06:30:18] - 48 	 654.5 	 	 0.1000 	 1.4243 	 0.4587 	 0.7340	 0.4121
[2022/09/16 06:42:12] - 49 	 654.3 	 	 0.0100 	 1.4117 	 0.4632 	 0.7324	 0.4238
[2022/09/16 06:55:56] - 50 	 763.2 	 	 0.0100 	 1.2300 	 0.5314 	 0.7930	 0.4984
[2022/09/16 07:09:40] - 51 	 763.0 	 	 0.0100 	 1.1698 	 0.5523 	 0.7969	 0.5008
[2022/09/16 07:23:24] - 52 	 762.8 	 	 0.0100 	 1.1449 	 0.5600 	 0.8125	 0.5023
[2022/09/16 07:37:08] - 53 	 762.9 	 	 0.0100 	 1.1223 	 0.5677 	 0.8187	 0.5180
[2022/09/16 07:50:52] - 54 	 763.0 	 	 0.0100 	 1.1049 	 0.5719 	 0.8227	 0.5055
[2022/09/16 08:04:35] - 55 	 763.0 	 	 0.0100 	 1.0897 	 0.5771 	 0.8168	 0.5148
[2022/09/16 08:18:19] - 56 	 763.0 	 	 0.0100 	 1.0776 	 0.5828 	 0.8176	 0.5219
[2022/09/16 08:32:03] - 57 	 763.0 	 	 0.0100 	 1.0603 	 0.5878 	 0.8238	 0.5125
[2022/09/16 08:45:46] - 58 	 762.9 	 	 0.0100 	 1.0483 	 0.5935 	 0.8168	 0.5145
[2022/09/16 08:59:30] - 59 	 763.1 	 	 0.0100 	 1.0367 	 0.5943 	 0.8098	 0.5137
[2022/09/16 09:13:14] - 60 	 763.4 	 	 0.0100 	 1.0220 	 0.6009 	 0.8305	 0.5090
[2022/09/16 09:26:58] - 61 	 763.2 	 	 0.0100 	 1.0143 	 0.6026 	 0.8258	 0.5117
[2022/09/16 09:40:42] - 62 	 763.2 	 	 0.0100 	 0.9988 	 0.6071 	 0.8328	 0.5145
[2022/09/16 09:56:15] - 63 	 872.2 	 	 0.0100 	 0.9951 	 0.6087 	 0.8230	 0.5047
[2022/09/16 10:11:48] - 64 	 872.3 	 	 0.0100 	 0.9840 	 0.6123 	 0.8262	 0.5051
[2022/09/16 10:27:20] - 65 	 872.2 	 	 0.0100 	 0.9688 	 0.6163 	 0.8316	 0.5137
[2022/09/16 10:42:53] - 66 	 871.8 	 	 0.0100 	 0.9611 	 0.6198 	 0.8324	 0.5086
[2022/09/16 10:58:25] - 67 	 872.1 	 	 0.0100 	 0.9529 	 0.6233 	 0.8332	 0.5055
[2022/09/16 11:13:58] - 68 	 871.9 	 	 0.0100 	 0.9388 	 0.6274 	 0.8273	 0.5176
[2022/09/16 11:29:31] - 69 	 872.1 	 	 0.0100 	 0.9252 	 0.6300 	 0.8219	 0.5043
[2022/09/16 11:45:03] - 70 	 872.2 	 	 0.0100 	 0.9197 	 0.6334 	 0.8219	 0.5086
[2022/09/16 12:00:36] - 71 	 872.1 	 	 0.0100 	 0.9093 	 0.6361 	 0.8375	 0.4992
[2022/09/16 12:16:08] - 72 	 871.9 	 	 0.0100 	 0.8965 	 0.6404 	 0.8324	 0.5113
[2022/09/16 12:31:41] - 73 	 872.2 	 	 0.0100 	 0.8853 	 0.6435 	 0.8398	 0.4914
[2022/09/16 12:47:14] - 74 	 872.3 	 	 0.0010 	 0.8801 	 0.6446 	 0.8359	 0.4977
[2022/09/16 13:04:36] - 75 	 980.9 	 	 0.0010 	 0.7250 	 0.7064 	 0.8496	 0.5203
[2022/09/16 13:21:57] - 76 	 981.0 	 	 0.0010 	 0.6651 	 0.7283 	 0.8582	 0.5066
[2022/09/16 13:39:19] - 77 	 981.3 	 	 0.0010 	 0.6400 	 0.7394 	 0.8570	 0.5102
[2022/09/16 13:56:41] - 78 	 981.3 	 	 0.0010 	 0.6188 	 0.7463 	 0.8609	 0.5078
[2022/09/16 14:14:03] - 79 	 981.3 	 	 0.0010 	 0.6032 	 0.7508 	 0.8602	 0.5102
[2022/09/16 14:31:25] - 80 	 981.5 	 	 0.0010 	 0.5918 	 0.7562 	 0.8547	 0.5094
[2022/09/16 14:48:47] - 81 	 981.4 	 	 0.0010 	 0.5782 	 0.7606 	 0.8605	 0.5008
[2022/09/16 15:06:10] - 82 	 981.8 	 	 0.0010 	 0.5672 	 0.7652 	 0.8535	 0.5062
[2022/09/16 15:23:33] - 83 	 982.0 	 	 0.0010 	 0.5529 	 0.7706 	 0.8535	 0.5027
[2022/09/16 15:40:55] - 84 	 982.2 	 	 0.0010 	 0.5434 	 0.7732 	 0.8562	 0.4957
[2022/09/16 15:58:18] - 85 	 982.2 	 	 0.0010 	 0.5334 	 0.7783 	 0.8617	 0.4875
[2022/09/16 16:15:41] - 86 	 982.0 	 	 0.0010 	 0.5206 	 0.7823 	 0.8633	 0.4824
[2022/09/16 16:33:04] - 87 	 981.8 	 	 0.0010 	 0.5127 	 0.7856 	 0.8602	 0.4824
[2022/09/16 16:52:15] - 88 	 1090.8 	 	 0.0010 	 0.5070 	 0.7889 	 0.8539	 0.4887
[2022/09/16 17:11:27] - 89 	 1090.9 	 	 0.0010 	 0.4968 	 0.7916 	 0.8527	 0.4863
[2022/09/16 17:30:38] - 90 	 1091.0 	 	 0.0010 	 0.4905 	 0.7925 	 0.8562	 0.4887
[2022/09/16 17:49:50] - 91 	 1090.8 	 	 0.0010 	 0.4797 	 0.7973 	 0.8625	 0.4934
[2022/09/16 18:09:01] - 92 	 1091.0 	 	 0.0010 	 0.4721 	 0.8006 	 0.8613	 0.4902
[2022/09/16 18:28:13] - 93 	 1090.8 	 	 0.0010 	 0.4658 	 0.8031 	 0.8504	 0.4844
[2022/09/16 18:47:24] - 94 	 1090.3 	 	 0.0010 	 0.4558 	 0.8077 	 0.8527	 0.4914
[2022/09/16 19:06:35] - 95 	 1090.4 	 	 0.0010 	 0.4492 	 0.8083 	 0.8562	 0.4801
[2022/09/16 19:25:46] - 96 	 1090.3 	 	 0.0010 	 0.4378 	 0.8136 	 0.8570	 0.4809
[2022/09/16 19:44:57] - 97 	 1090.6 	 	 0.0010 	 0.4331 	 0.8156 	 0.8570	 0.4836
[2022/09/16 20:04:08] - 98 	 1090.9 	 	 0.0010 	 0.4294 	 0.8187 	 0.8578	 0.4855
[2022/09/16 20:23:20] - 99 	 1090.6 	 	 0.0010 	 0.4173 	 0.8225 	 0.8516	 0.4781
[2022/09/16 20:23:20] - Total train time: 1178.7917 minutes
[2022/09/16 20:23:20] - Best checkpoint at 56, 0.521875
