[2022/05/24 14:24:36] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output', gamma=1.01, init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='cyclic', max_iteration=8, model='pre', momentum=0.9, normalization='std', out_dir='ablation_cyclic_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/24 14:24:42] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 CW Acc
[2022/05/24 16:07:16] - 42 	 189.3 	 	 0.0140 	 0.9869 	 0.6307 	 0.7113	 2564.7668 	 0.3902
[2022/05/24 16:10:38] - 43 	 187.6 	 	 0.0120 	 0.9908 	 0.6264 	 0.7559	 2644.1499 	 0.3992
[2022/05/24 16:13:59] - 44 	 186.4 	 	 0.0100 	 0.9970 	 0.6211 	 0.7434	 2714.7749 	 0.4016
[2022/05/24 16:17:22] - 45 	 188.0 	 	 0.0080 	 1.0006 	 0.6178 	 0.7840	 2797.8364 	 0.4324
[2022/05/24 16:20:45] - 46 	 188.7 	 	 0.0060 	 0.9981 	 0.6126 	 0.7914	 2899.8003 	 0.4309
[2022/05/24 16:24:34] - 47 	 214.7 	 	 0.0040 	 0.9432 	 0.6355 	 0.8000	 2763.7939 	 0.4520
[2022/05/24 16:28:21] - 48 	 212.4 	 	 0.0020 	 0.9612 	 0.6200 	 0.8246	 2967.6926 	 0.4684
[2022/05/24 16:32:11] - 49 	 214.9 	 	 0.0000 	 0.9923 	 0.6029 	 0.8348	 3179.7566 	 0.4949
[2022/05/24 16:32:11] - Total train time: 116.4298 minutes
[2022/05/24 16:32:11] - Best checkpoint at 49, 0.494921875
