[2022/05/02 05:57:19] - Namespace(alpha=10.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='uniform', epochs=50, epsilon=8, fname='output_dense', gamma=1.01, init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=7, model='dense', momentum=0.9, normalization='std', out_dir='mpgd_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/02 05:57:23] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 MG 	 PGD Acc
[2022/05/02 08:51:11] - 42 	 277.6 	 	 0.0001 	 1.3061 	 0.4983 	 0.7430	 2283.9668 	 0.4324
[2022/05/02 08:56:07] - 43 	 276.3 	 	 0.0001 	 1.3065 	 0.4985 	 0.7414	 2285.0310 	 0.4309
[2022/05/02 09:01:03] - 44 	 277.7 	 	 0.0001 	 1.3068 	 0.4976 	 0.7379	 2291.8142 	 0.4281
[2022/05/02 09:06:00] - 45 	 277.6 	 	 0.0001 	 1.3052 	 0.4995 	 0.7430	 2291.1938 	 0.4152
[2022/05/02 09:10:56] - 46 	 277.0 	 	 0.0001 	 1.3057 	 0.4966 	 0.7371	 2297.6467 	 0.4277
[2022/05/02 09:15:53] - 47 	 277.7 	 	 0.0001 	 1.3050 	 0.4983 	 0.7355	 2291.2966 	 0.4250
[2022/05/02 09:20:50] - 48 	 277.2 	 	 0.0001 	 1.3044 	 0.4987 	 0.7410	 2294.1604 	 0.4234
[2022/05/02 09:25:46] - 49 	 277.0 	 	 0.0001 	 1.3029 	 0.4999 	 0.7398	 2296.2356 	 0.4301
[2022/05/02 09:25:46] - Total train time: 192.3403 minutes
[2022/05/02 09:25:46] - Best checkpoint at 31, 0.433984375
