[2022/05/02 05:17:14] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_dense6', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=6, model='dense', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/02 05:17:17] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/05/02 05:21:17] - 0 	 221.8 	 	 0.0500 	 1.9691 	 0.2684 	 0.4074	 0.2227
[2022/05/02 05:25:15] - 1 	 219.8 	 	 0.0500 	 1.8003 	 0.3236 	 0.4730	 0.2691
[2022/05/02 05:29:12] - 2 	 218.9 	 	 0.0500 	 1.7064 	 0.3567 	 0.5000	 0.2730
[2022/05/02 05:33:09] - 3 	 218.8 	 	 0.0500 	 1.6430 	 0.3800 	 0.5426	 0.2430
[2022/05/02 05:37:08] - 4 	 221.1 	 	 0.0500 	 1.6096 	 0.3914 	 0.5437	 0.2875
[2022/05/02 05:41:05] - 5 	 219.0 	 	 0.0500 	 1.5890 	 0.3990 	 0.5422	 0.2859
[2022/05/02 05:45:03] - 6 	 219.8 	 	 0.0500 	 1.5714 	 0.4052 	 0.5465	 0.2875
[2022/05/02 05:49:00] - 7 	 219.2 	 	 0.0500 	 1.5547 	 0.4099 	 0.5891	 0.2668
[2022/05/02 05:52:57] - 8 	 218.9 	 	 0.0500 	 1.5454 	 0.4141 	 0.5426	 0.2832
[2022/05/02 05:56:54] - 9 	 219.2 	 	 0.0500 	 1.5349 	 0.4180 	 0.5965	 0.2664
[2022/05/02 06:00:54] - 10 	 221.5 	 	 0.0500 	 1.5246 	 0.4216 	 0.6039	 0.3074
[2022/05/02 06:04:53] - 11 	 220.8 	 	 0.0500 	 1.5158 	 0.4258 	 0.6176	 0.2930
[2022/05/02 06:08:52] - 12 	 220.9 	 	 0.0500 	 1.5121 	 0.4257 	 0.5484	 0.3031
[2022/05/02 06:12:52] - 13 	 221.8 	 	 0.0500 	 1.5083 	 0.4295 	 0.5844	 0.2855
[2022/05/02 06:16:53] - 14 	 222.9 	 	 0.0500 	 1.4983 	 0.4322 	 0.5707	 0.2715
[2022/05/02 06:20:54] - 15 	 222.2 	 	 0.0500 	 1.4977 	 0.4313 	 0.5891	 0.3008
[2022/05/02 06:24:54] - 16 	 221.8 	 	 0.0500 	 1.4887 	 0.4358 	 0.5730	 0.2723
[2022/05/02 06:28:53] - 17 	 220.5 	 	 0.0500 	 1.4814 	 0.4380 	 0.4980	 0.2062
[2022/05/02 06:32:52] - 18 	 221.3 	 	 0.0500 	 1.4782 	 0.4411 	 0.5984	 0.2617
[2022/05/02 06:36:50] - 19 	 219.8 	 	 0.0500 	 1.4857 	 0.4330 	 0.6012	 0.2965
[2022/05/02 06:40:49] - 20 	 220.5 	 	 0.0500 	 1.4911 	 0.4320 	 0.5949	 0.3016
[2022/05/02 06:44:50] - 21 	 223.5 	 	 0.0500 	 1.4823 	 0.4402 	 0.6031	 0.3164
[2022/05/02 06:48:51] - 22 	 222.4 	 	 0.0500 	 1.4712 	 0.4401 	 0.5750	 0.2980
[2022/05/02 06:52:51] - 23 	 221.7 	 	 0.0500 	 1.4643 	 0.4465 	 0.5754	 0.2453
