[2022/05/01 23:42:17] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_dense4', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='dense', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/05/01 23:42:20] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/05/01 23:45:04] - 0 	 146.1 	 	 0.0500 	 2.0338 	 0.2413 	 0.4164	 0.2297
[2022/05/01 23:47:49] - 1 	 147.0 	 	 0.0500 	 1.8594 	 0.2988 	 0.4863	 0.2543
[2022/05/01 23:50:34] - 2 	 147.2 	 	 0.0500 	 1.7633 	 0.3303 	 0.5105	 0.2707
[2022/05/01 23:53:19] - 3 	 146.1 	 	 0.0500 	 1.7020 	 0.3492 	 0.5977	 0.2672
[2022/05/01 23:56:04] - 4 	 147.3 	 	 0.0500 	 1.6639 	 0.3649 	 0.6148	 0.3070
[2022/05/01 23:58:50] - 5 	 147.9 	 	 0.0500 	 1.6376 	 0.3734 	 0.5891	 0.3164
[2022/05/02 00:01:34] - 6 	 146.8 	 	 0.0500 	 1.6173 	 0.3804 	 0.5789	 0.2957
[2022/05/02 00:04:19] - 7 	 146.8 	 	 0.0500 	 1.5970 	 0.3881 	 0.6406	 0.2902
[2022/05/02 00:07:04] - 8 	 147.0 	 	 0.0500 	 1.5742 	 0.3967 	 0.6133	 0.3027
[2022/05/02 00:09:49] - 9 	 146.8 	 	 0.0500 	 1.5399 	 0.4102 	 0.6168	 0.2824
[2022/05/02 00:12:33] - 10 	 146.3 	 	 0.0500 	 1.0508 	 0.6144 	 0.5484	 0.0281
[2022/05/02 00:15:17] - 11 	 146.1 	 	 0.0500 	 0.9997 	 0.6396 	 0.5996	 0.0508
[2022/05/02 00:18:00] - 12 	 145.5 	 	 0.0500 	 1.4594 	 0.4462 	 0.6379	 0.3156
[2022/05/02 00:20:45] - 13 	 146.1 	 	 0.0500 	 1.5882 	 0.3929 	 0.6738	 0.3262
[2022/05/02 00:23:29] - 14 	 146.6 	 	 0.0500 	 1.5750 	 0.3961 	 0.6551	 0.3051
[2022/05/02 00:26:14] - 15 	 147.0 	 	 0.0500 	 1.5677 	 0.4009 	 0.6582	 0.3215
[2022/05/02 00:28:59] - 16 	 146.7 	 	 0.0500 	 1.5587 	 0.4023 	 0.6676	 0.2996
[2022/05/02 00:31:45] - 17 	 147.9 	 	 0.0500 	 1.5389 	 0.4091 	 0.6613	 0.3195
[2022/05/02 00:34:30] - 18 	 147.2 	 	 0.0500 	 1.5035 	 0.4240 	 0.6492	 0.2102
[2022/05/02 00:37:17] - 19 	 148.2 	 	 0.0500 	 1.4203 	 0.4595 	 0.6891	 0.3199
[2022/05/02 00:40:02] - 20 	 147.7 	 	 0.0500 	 1.5622 	 0.4025 	 0.6707	 0.3238
[2022/05/02 00:42:48] - 21 	 147.5 	 	 0.0500 	 1.5450 	 0.4078 	 0.6613	 0.3340
[2022/05/02 00:45:34] - 22 	 147.6 	 	 0.0500 	 1.5411 	 0.4095 	 0.6484	 0.2996
[2022/05/02 00:48:19] - 23 	 147.1 	 	 0.0500 	 1.5377 	 0.4105 	 0.6387	 0.3027
[2022/05/02 00:51:05] - 24 	 147.6 	 	 0.0050 	 1.5376 	 0.4106 	 0.6594	 0.3145
[2022/05/02 00:53:50] - 25 	 147.2 	 	 0.0050 	 1.4437 	 0.4410 	 0.7695	 0.4199
[2022/05/02 00:56:34] - 26 	 146.1 	 	 0.0050 	 1.3897 	 0.4635 	 0.7707	 0.4277
[2022/05/02 00:59:19] - 27 	 146.1 	 	 0.0050 	 1.3630 	 0.4705 	 0.7777	 0.4254
[2022/05/02 01:02:05] - 28 	 148.4 	 	 0.0050 	 1.3459 	 0.4772 	 0.7844	 0.4273
[2022/05/02 01:04:51] - 29 	 147.2 	 	 0.0050 	 1.3267 	 0.4851 	 0.7910	 0.4332
[2022/05/02 01:07:36] - 30 	 147.0 	 	 0.0050 	 1.3010 	 0.4928 	 0.7980	 0.4348
[2022/05/02 01:10:20] - 31 	 145.7 	 	 0.0050 	 1.2822 	 0.4988 	 0.7910	 0.4289
[2022/05/02 01:13:04] - 32 	 146.2 	 	 0.0050 	 0.9735 	 0.6268 	 0.7207	 0.0820
[2022/05/02 01:15:49] - 33 	 147.4 	 	 0.0050 	 1.1323 	 0.5645 	 0.7934	 0.4113
[2022/05/02 01:18:36] - 34 	 148.5 	 	 0.0050 	 1.3171 	 0.4845 	 0.8008	 0.4352
[2022/05/02 01:21:21] - 35 	 147.0 	 	 0.0050 	 0.9981 	 0.6200 	 0.7902	 0.4148
[2022/05/02 01:24:05] - 36 	 146.6 	 	 0.0050 	 1.3416 	 0.4745 	 0.7891	 0.4098
[2022/05/02 01:26:50] - 37 	 146.9 	 	 0.0050 	 1.3156 	 0.4830 	 0.8012	 0.4227
[2022/05/02 01:29:35] - 38 	 146.7 	 	 0.0050 	 1.3059 	 0.4871 	 0.7898	 0.4223
[2022/05/02 01:32:20] - 39 	 146.9 	 	 0.0005 	 1.2882 	 0.4901 	 0.7937	 0.4188
[2022/05/02 01:35:05] - 40 	 147.4 	 	 0.0005 	 1.2308 	 0.5168 	 0.8313	 0.4574
[2022/05/02 01:37:50] - 41 	 146.9 	 	 0.0005 	 1.1890 	 0.5325 	 0.8246	 0.4445
[2022/05/02 01:40:35] - 42 	 147.0 	 	 0.0005 	 1.1246 	 0.5574 	 0.8293	 0.3937
[2022/05/02 01:43:20] - 43 	 147.2 	 	 0.0005 	 0.8643 	 0.6716 	 0.8293	 0.2254
[2022/05/02 01:46:05] - 44 	 146.6 	 	 0.0005 	 1.0037 	 0.6089 	 0.8359	 0.2773
[2022/05/02 01:48:49] - 45 	 146.8 	 	 0.0005 	 1.0017 	 0.6095 	 0.8375	 0.2902
[2022/05/02 01:51:36] - 46 	 148.1 	 	 0.0005 	 1.0654 	 0.5818 	 0.8340	 0.3746
[2022/05/02 01:54:19] - 47 	 146.1 	 	 0.0005 	 0.9153 	 0.6446 	 0.8391	 0.2059
[2022/05/02 01:57:03] - 48 	 145.5 	 	 0.0005 	 0.6511 	 0.7583 	 0.8543	 0.1430
[2022/05/02 01:59:48] - 49 	 147.0 	 	 0.0005 	 0.7790 	 0.7005 	 0.8480	 0.1527
[2022/05/02 01:59:48] - Total train time: 122.4452 minutes
[2022/05/02 01:59:48] - Best checkpoint at 40, 0.457421875
