[2022/09/21 14:03:10] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide8', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/21 14:03:14] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/22 03:52:04] - 48 	 931.4 	 	 0.0500 	 1.2016 	 0.5542 	 0.6527	 0.2656
[2022/09/22 04:08:38] - 49 	 930.8 	 	 0.0050 	 1.2036 	 0.5515 	 0.6332	 0.2645
[2022/09/22 04:25:12] - 50 	 930.5 	 	 0.0050 	 1.3833 	 0.4653 	 0.7875	 0.4273
[2022/09/22 04:41:46] - 51 	 930.1 	 	 0.0050 	 1.2780 	 0.5001 	 0.7984	 0.4316
[2022/09/22 04:58:20] - 52 	 930.1 	 	 0.0050 	 1.2196 	 0.5195 	 0.8066	 0.4461
[2022/09/22 05:14:54] - 53 	 929.9 	 	 0.0050 	 1.1650 	 0.5366 	 0.8059	 0.4437
[2022/09/22 05:31:27] - 54 	 929.8 	 	 0.0050 	 1.1181 	 0.5527 	 0.8113	 0.4434
[2022/09/22 05:48:00] - 55 	 929.5 	 	 0.0050 	 1.0768 	 0.5676 	 0.8090	 0.4332
[2022/09/22 06:04:33] - 56 	 929.1 	 	 0.0050 	 1.0402 	 0.5828 	 0.8168	 0.4289
[2022/09/22 06:21:05] - 57 	 928.6 	 	 0.0050 	 1.0120 	 0.5951 	 0.8090	 0.4379
[2022/09/22 06:37:36] - 58 	 928.3 	 	 0.0050 	 0.9816 	 0.6064 	 0.7965	 0.4059
[2022/09/22 06:54:08] - 59 	 928.2 	 	 0.0050 	 0.9587 	 0.6152 	 0.8055	 0.4230
[2022/09/22 07:10:39] - 60 	 928.1 	 	 0.0050 	 0.9385 	 0.6248 	 0.8180	 0.4125
[2022/09/22 07:27:10] - 61 	 927.8 	 	 0.0050 	 0.9147 	 0.6346 	 0.8180	 0.4301
[2022/09/22 07:43:41] - 62 	 927.6 	 	 0.0050 	 0.8910 	 0.6455 	 0.8109	 0.4207
[2022/09/22 08:00:12] - 63 	 927.6 	 	 0.0050 	 0.8786 	 0.6464 	 0.8203	 0.4152
[2022/09/22 08:16:43] - 64 	 927.4 	 	 0.0050 	 0.8589 	 0.6562 	 0.8262	 0.4313
[2022/09/22 08:33:14] - 65 	 927.9 	 	 0.0050 	 0.8404 	 0.6633 	 0.7957	 0.4020
[2022/09/22 08:49:46] - 66 	 928.4 	 	 0.0050 	 0.8235 	 0.6701 	 0.8219	 0.4191
[2022/09/22 09:06:18] - 67 	 928.8 	 	 0.0050 	 0.8072 	 0.6768 	 0.8348	 0.4215
[2022/09/22 09:22:51] - 68 	 929.3 	 	 0.0050 	 0.7987 	 0.6785 	 0.8070	 0.4090
[2022/09/22 09:39:24] - 69 	 929.4 	 	 0.0050 	 0.7827 	 0.6865 	 0.8184	 0.4137
[2022/09/22 09:55:57] - 70 	 929.6 	 	 0.0050 	 0.7676 	 0.6929 	 0.8270	 0.4230
[2022/09/22 10:12:31] - 71 	 930.2 	 	 0.0050 	 0.7547 	 0.6981 	 0.8129	 0.4195
[2022/09/22 10:29:05] - 72 	 930.6 	 	 0.0050 	 0.7425 	 0.7024 	 0.8242	 0.4141
[2022/09/22 10:45:39] - 73 	 930.9 	 	 0.0050 	 0.7303 	 0.7052 	 0.8102	 0.4234
[2022/09/22 11:02:14] - 74 	 931.4 	 	 0.0005 	 0.7190 	 0.7119 	 0.8199	 0.4039
[2022/09/22 11:18:50] - 75 	 932.1 	 	 0.0005 	 0.9133 	 0.6210 	 0.8719	 0.4828
[2022/09/22 11:35:26] - 76 	 932.6 	 	 0.0005 	 0.8141 	 0.6558 	 0.8730	 0.4809
[2022/09/22 11:52:03] - 77 	 933.1 	 	 0.0005 	 0.7697 	 0.6755 	 0.8656	 0.4785
[2022/09/22 12:08:41] - 78 	 933.6 	 	 0.0005 	 0.7340 	 0.6873 	 0.8660	 0.4754
[2022/09/22 12:25:19] - 79 	 934.3 	 	 0.0005 	 0.7082 	 0.6964 	 0.8703	 0.4758
[2022/09/22 12:41:58] - 80 	 935.0 	 	 0.0005 	 0.6859 	 0.7074 	 0.8777	 0.4793
[2022/09/22 12:59:14] - 81 	 968.2 	 	 0.0005 	 0.6602 	 0.7157 	 0.8684	 0.4734
[2022/09/22 13:16:52] - 82 	 990.6 	 	 0.0005 	 0.6399 	 0.7222 	 0.8676	 0.4770
[2022/09/22 13:34:32] - 83 	 992.6 	 	 0.0005 	 0.6147 	 0.7334 	 0.8703	 0.4828
[2022/09/22 13:52:13] - 84 	 993.0 	 	 0.0005 	 0.5948 	 0.7414 	 0.8645	 0.4734
[2022/09/22 14:09:56] - 85 	 994.9 	 	 0.0005 	 0.5774 	 0.7468 	 0.8676	 0.4570
[2022/09/22 14:27:41] - 86 	 997.6 	 	 0.0005 	 0.5559 	 0.7552 	 0.8758	 0.4582
[2022/09/22 14:45:32] - 87 	 1002.0 	 	 0.0005 	 0.5391 	 0.7610 	 0.8699	 0.4602
[2022/09/22 15:03:18] - 88 	 997.7 	 	 0.0005 	 0.5189 	 0.7694 	 0.8660	 0.4613
[2022/09/22 15:20:44] - 89 	 981.8 	 	 0.0005 	 0.5025 	 0.7765 	 0.8590	 0.4504
[2022/09/22 15:37:38] - 90 	 949.8 	 	 0.0005 	 0.4886 	 0.7813 	 0.8656	 0.4551
[2022/09/22 15:54:48] - 91 	 961.7 	 	 0.0005 	 0.4718 	 0.7888 	 0.8633	 0.4629
[2022/09/22 16:12:25] - 92 	 989.8 	 	 0.0005 	 0.4550 	 0.7958 	 0.8633	 0.4582
[2022/09/22 16:29:43] - 93 	 970.4 	 	 0.0005 	 0.4432 	 0.8005 	 0.8621	 0.4598
[2022/09/22 16:47:29] - 94 	 997.1 	 	 0.0005 	 0.4263 	 0.8067 	 0.8676	 0.4477
[2022/09/22 17:05:22] - 95 	 1004.1 	 	 0.0005 	 0.4163 	 0.8112 	 0.8672	 0.4484
[2022/09/22 17:23:07] - 96 	 996.5 	 	 0.0005 	 0.4036 	 0.8161 	 0.8559	 0.4465
[2022/09/22 17:40:50] - 97 	 994.8 	 	 0.0005 	 0.3922 	 0.8215 	 0.8672	 0.4508
[2022/09/22 17:58:32] - 98 	 993.8 	 	 0.0005 	 0.3819 	 0.8255 	 0.8590	 0.4539
[2022/09/22 18:16:20] - 99 	 999.9 	 	 0.0005 	 0.3649 	 0.8332 	 0.8605	 0.4562
[2022/09/22 18:16:20] - Total train time: 1584.7926 minutes
[2022/09/22 18:16:20] - Best checkpoint at 75, 0.4828125
