[2022/09/20 15:50:53] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide6', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=6, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/20 15:50:57] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/20 16:04:54] - 0 	 767.0 	 	 0.0500 	 2.0156 	 0.2474 	 0.3879	 0.1980
[2022/09/20 16:18:50] - 1 	 765.5 	 	 0.0500 	 1.8233 	 0.3089 	 0.5270	 0.2613
[2022/09/20 16:33:01] - 2 	 780.3 	 	 0.0500 	 1.6998 	 0.3473 	 0.4992	 0.2195
[2022/09/20 16:46:56] - 3 	 765.2 	 	 0.0500 	 1.6152 	 0.3764 	 0.5902	 0.2449
[2022/09/20 17:00:52] - 4 	 766.8 	 	 0.0500 	 1.5556 	 0.3986 	 0.6176	 0.2574
[2022/09/20 17:14:47] - 5 	 765.5 	 	 0.0500 	 1.5126 	 0.4151 	 0.6266	 0.2652
[2022/09/20 17:28:43] - 6 	 765.8 	 	 0.0500 	 1.4743 	 0.4279 	 0.6367	 0.2730
[2022/09/20 17:42:39] - 7 	 766.2 	 	 0.0500 	 1.4441 	 0.4401 	 0.6207	 0.2508
[2022/09/20 17:56:31] - 8 	 762.5 	 	 0.0500 	 1.4201 	 0.4489 	 0.6535	 0.2855
[2022/09/20 18:10:28] - 9 	 766.9 	 	 0.0500 	 1.4048 	 0.4531 	 0.6535	 0.2898
[2022/09/20 18:24:23] - 10 	 764.8 	 	 0.0500 	 1.3859 	 0.4592 	 0.6477	 0.2406
[2022/09/20 18:38:21] - 11 	 768.2 	 	 0.0500 	 1.3709 	 0.4641 	 0.6367	 0.2758
[2022/09/20 18:52:22] - 12 	 771.6 	 	 0.0500 	 1.3627 	 0.4697 	 0.6727	 0.2891
[2022/09/20 19:06:29] - 13 	 776.3 	 	 0.0500 	 1.3500 	 0.4713 	 0.6969	 0.2758
[2022/09/20 19:20:41] - 14 	 783.8 	 	 0.0500 	 1.3440 	 0.4760 	 0.6512	 0.3082
[2022/09/20 19:34:44] - 15 	 772.4 	 	 0.0500 	 1.3382 	 0.4793 	 0.6793	 0.2859
[2022/09/20 19:48:40] - 16 	 766.8 	 	 0.0500 	 1.3304 	 0.4842 	 0.6766	 0.2719
[2022/09/20 20:02:41] - 17 	 770.4 	 	 0.0500 	 1.3285 	 0.4837 	 0.6969	 0.2641
[2022/09/20 20:16:52] - 18 	 779.6 	 	 0.0500 	 1.3215 	 0.4842 	 0.6719	 0.2898
[2022/09/20 20:31:07] - 19 	 783.7 	 	 0.0500 	 1.3201 	 0.4873 	 0.6676	 0.2418
[2022/09/20 20:45:21] - 20 	 784.2 	 	 0.0500 	 1.3153 	 0.4832 	 0.6609	 0.2492
[2022/09/20 20:59:36] - 21 	 783.7 	 	 0.0500 	 1.3044 	 0.4887 	 0.7004	 0.2852
[2022/09/20 21:13:49] - 22 	 782.2 	 	 0.0500 	 1.3057 	 0.4899 	 0.7043	 0.3031
[2022/09/20 21:28:03] - 23 	 783.3 	 	 0.0500 	 1.3050 	 0.4909 	 0.6875	 0.2914
[2022/09/20 21:42:15] - 24 	 781.3 	 	 0.0500 	 1.3043 	 0.4906 	 0.6949	 0.2676
[2022/09/20 21:56:28] - 25 	 781.9 	 	 0.0500 	 1.2972 	 0.4911 	 0.6738	 0.3121
[2022/09/20 22:10:40] - 26 	 780.9 	 	 0.0500 	 1.2959 	 0.4936 	 0.6871	 0.2629
[2022/09/20 22:24:50] - 27 	 781.2 	 	 0.0500 	 1.2940 	 0.4916 	 0.6605	 0.2594
[2022/09/20 22:38:50] - 28 	 768.8 	 	 0.0500 	 1.2999 	 0.4913 	 0.6730	 0.3137
[2022/09/20 22:53:02] - 29 	 780.7 	 	 0.0500 	 1.2878 	 0.4949 	 0.6562	 0.2453
[2022/09/20 23:06:53] - 30 	 762.5 	 	 0.0500 	 1.2890 	 0.4943 	 0.6914	 0.2777
[2022/09/20 23:20:28] - 31 	 746.6 	 	 0.0500 	 1.2915 	 0.4961 	 0.6687	 0.2969
[2022/09/20 23:34:26] - 32 	 767.4 	 	 0.0500 	 1.2937 	 0.4940 	 0.6820	 0.2727
[2022/09/20 23:48:14] - 33 	 758.1 	 	 0.0500 	 1.2831 	 0.4982 	 0.6922	 0.2855
[2022/09/21 00:02:14] - 34 	 769.8 	 	 0.0500 	 1.2900 	 0.4969 	 0.6855	 0.3316
[2022/09/21 00:16:13] - 35 	 769.2 	 	 0.0500 	 1.2845 	 0.5003 	 0.7000	 0.2762
[2022/09/21 00:30:14] - 36 	 770.7 	 	 0.0500 	 1.2863 	 0.4970 	 0.6508	 0.2594
[2022/09/21 00:44:13] - 37 	 769.4 	 	 0.0500 	 1.2860 	 0.4969 	 0.6875	 0.3145
[2022/09/21 00:58:11] - 38 	 767.7 	 	 0.0500 	 1.2831 	 0.4966 	 0.6520	 0.2625
[2022/09/21 01:11:58] - 39 	 758.6 	 	 0.0500 	 1.2807 	 0.4989 	 0.7137	 0.3172
[2022/09/21 01:25:39] - 40 	 753.0 	 	 0.0500 	 1.2824 	 0.4982 	 0.6844	 0.2961
[2022/09/21 01:39:19] - 41 	 751.4 	 	 0.0500 	 1.2832 	 0.4972 	 0.6488	 0.2492
[2022/09/21 01:52:59] - 42 	 751.6 	 	 0.0500 	 1.2817 	 0.4981 	 0.7145	 0.3199
[2022/09/21 02:06:41] - 43 	 752.9 	 	 0.0500 	 1.2879 	 0.4969 	 0.7152	 0.2977
[2022/09/21 02:20:22] - 44 	 752.8 	 	 0.0500 	 1.2776 	 0.4997 	 0.6703	 0.2809
[2022/09/21 02:34:03] - 45 	 752.6 	 	 0.0500 	 1.2835 	 0.4980 	 0.6762	 0.2809
[2022/09/21 02:47:48] - 46 	 756.1 	 	 0.0500 	 1.2819 	 0.4993 	 0.7020	 0.2891
[2022/09/21 03:01:28] - 47 	 752.0 	 	 0.0500 	 1.2798 	 0.5002 	 0.7039	 0.3023
[2022/09/21 03:15:05] - 48 	 750.0 	 	 0.0500 	 1.2814 	 0.4990 	 0.7082	 0.2910
[2022/09/21 03:28:01] - 49 	 711.3 	 	 0.0050 	 1.2814 	 0.4977 	 0.7055	 0.3082
[2022/09/21 03:40:59] - 50 	 713.0 	 	 0.0050 	 1.3105 	 0.4924 	 0.8324	 0.4504
[2022/09/21 03:53:54] - 51 	 711.2 	 	 0.0050 	 1.2091 	 0.5241 	 0.8406	 0.4402
[2022/09/21 04:06:42] - 52 	 703.8 	 	 0.0050 	 1.1593 	 0.5383 	 0.8477	 0.4645
[2022/09/21 04:19:30] - 53 	 703.2 	 	 0.0050 	 1.1137 	 0.5538 	 0.8598	 0.4676
[2022/09/21 04:32:22] - 54 	 707.7 	 	 0.0050 	 1.0727 	 0.5654 	 0.8566	 0.4547
[2022/09/21 04:45:12] - 55 	 706.0 	 	 0.0050 	 1.0374 	 0.5740 	 0.8555	 0.4496
