[2022/09/19 23:51:59] - Namespace(alpha=2.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide4', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/19 23:52:03] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/20 00:01:38] - 0 	 504.7 	 	 0.0500 	 1.9777 	 0.2595 	 0.4242	 0.1992
[2022/09/20 00:11:31] - 1 	 520.8 	 	 0.0500 	 1.7629 	 0.3297 	 0.5875	 0.2332
[2022/09/20 00:21:14] - 2 	 512.3 	 	 0.0500 	 1.6308 	 0.3734 	 0.6035	 0.2035
[2022/09/20 00:30:57] - 3 	 513.1 	 	 0.0500 	 1.5472 	 0.4053 	 0.6496	 0.1859
[2022/09/20 00:40:44] - 4 	 516.7 	 	 0.0500 	 1.4897 	 0.4275 	 0.6789	 0.2320
[2022/09/20 00:50:32] - 5 	 517.2 	 	 0.0500 	 1.4460 	 0.4445 	 0.7285	 0.2313
[2022/09/20 01:00:17] - 6 	 514.4 	 	 0.0500 	 1.4111 	 0.4562 	 0.7055	 0.2477
[2022/09/20 01:10:01] - 7 	 515.0 	 	 0.0500 	 1.3801 	 0.4658 	 0.6949	 0.2246
[2022/09/20 01:19:33] - 8 	 503.4 	 	 0.0500 	 1.3529 	 0.4741 	 0.7016	 0.2391
[2022/09/20 01:29:05] - 9 	 503.6 	 	 0.0500 	 1.3322 	 0.4809 	 0.7523	 0.2715
[2022/09/20 01:38:39] - 10 	 504.7 	 	 0.0500 	 1.3104 	 0.4864 	 0.7422	 0.2336
[2022/09/20 01:48:12] - 11 	 504.0 	 	 0.0500 	 1.2901 	 0.4949 	 0.6652	 0.1848
[2022/09/20 01:57:44] - 12 	 503.1 	 	 0.0500 	 1.2824 	 0.4995 	 0.7559	 0.2629
[2022/09/20 02:07:22] - 13 	 509.2 	 	 0.0500 	 1.2641 	 0.5036 	 0.7645	 0.2766
[2022/09/20 02:16:53] - 14 	 501.8 	 	 0.0500 	 1.2555 	 0.5060 	 0.7438	 0.2664
[2022/09/20 02:26:22] - 15 	 501.0 	 	 0.0500 	 1.2475 	 0.5096 	 0.7336	 0.2188
[2022/09/20 02:35:53] - 16 	 502.0 	 	 0.0500 	 1.2392 	 0.5126 	 0.7676	 0.2723
[2022/09/20 02:45:23] - 17 	 501.6 	 	 0.0500 	 1.2343 	 0.5119 	 0.7828	 0.2660
[2022/09/20 02:54:55] - 18 	 503.1 	 	 0.0500 	 1.2234 	 0.5176 	 0.7477	 0.2809
[2022/09/20 03:04:26] - 19 	 502.8 	 	 0.0500 	 1.2167 	 0.5205 	 0.7324	 0.2301
[2022/09/20 03:13:59] - 20 	 504.5 	 	 0.0500 	 1.2198 	 0.5167 	 0.7543	 0.2387
[2022/09/20 03:23:29] - 21 	 501.4 	 	 0.0500 	 1.2056 	 0.5211 	 0.7613	 0.2426
[2022/09/20 03:33:01] - 22 	 502.7 	 	 0.0500 	 1.2040 	 0.5194 	 0.7340	 0.2395
[2022/09/20 03:42:37] - 23 	 505.6 	 	 0.0500 	 1.2007 	 0.5247 	 0.7547	 0.2410
[2022/09/20 03:52:17] - 24 	 511.0 	 	 0.0500 	 1.1996 	 0.5257 	 0.7801	 0.2477
[2022/09/20 04:01:56] - 25 	 509.7 	 	 0.0500 	 1.1947 	 0.5235 	 0.7652	 0.2656
[2022/09/20 04:11:35] - 26 	 509.6 	 	 0.0500 	 1.1889 	 0.5271 	 0.7941	 0.2816
[2022/09/20 04:21:06] - 27 	 501.5 	 	 0.0500 	 1.1877 	 0.5269 	 0.7801	 0.2812
[2022/09/20 04:30:37] - 28 	 502.4 	 	 0.0500 	 1.1869 	 0.5263 	 0.7711	 0.2832
[2022/09/20 04:40:05] - 29 	 499.2 	 	 0.0500 	 1.1809 	 0.5285 	 0.7535	 0.2469
[2022/09/20 04:49:37] - 30 	 503.0 	 	 0.0500 	 1.1770 	 0.5305 	 0.7766	 0.2867
[2022/09/20 04:59:06] - 31 	 500.4 	 	 0.0500 	 1.1734 	 0.5311 	 0.7887	 0.2418
[2022/09/20 05:08:34] - 32 	 500.0 	 	 0.0500 	 1.1771 	 0.5294 	 0.7824	 0.2449
[2022/09/20 05:18:02] - 33 	 499.8 	 	 0.0500 	 1.1696 	 0.5318 	 0.7684	 0.3094
[2022/09/20 05:27:30] - 34 	 499.5 	 	 0.0500 	 1.1740 	 0.5342 	 0.7590	 0.2324
[2022/09/20 05:36:59] - 35 	 500.5 	 	 0.0500 	 1.1700 	 0.5338 	 0.7891	 0.2629
[2022/09/20 05:46:29] - 36 	 501.0 	 	 0.0500 	 1.1668 	 0.5329 	 0.7656	 0.2777
[2022/09/20 05:55:58] - 37 	 500.7 	 	 0.0500 	 1.1721 	 0.5321 	 0.7895	 0.2668
[2022/09/20 06:05:26] - 38 	 500.6 	 	 0.0500 	 1.1667 	 0.5335 	 0.7836	 0.2477
[2022/09/20 06:14:53] - 39 	 498.7 	 	 0.0500 	 1.1613 	 0.5369 	 0.7984	 0.2801
[2022/09/20 06:24:20] - 40 	 497.8 	 	 0.0500 	 1.1587 	 0.5349 	 0.7812	 0.2664
[2022/09/20 06:33:45] - 41 	 497.8 	 	 0.0500 	 1.1623 	 0.5349 	 0.7523	 0.2508
[2022/09/20 06:43:12] - 42 	 498.5 	 	 0.0500 	 1.1620 	 0.5332 	 0.8105	 0.2887
[2022/09/20 06:52:39] - 43 	 499.2 	 	 0.0500 	 1.1637 	 0.5354 	 0.7727	 0.2723
[2022/09/20 07:02:07] - 44 	 499.1 	 	 0.0500 	 1.1595 	 0.5358 	 0.7387	 0.2465
[2022/09/20 07:11:34] - 45 	 499.4 	 	 0.0500 	 1.1599 	 0.5372 	 0.7879	 0.2855
[2022/09/20 07:21:09] - 46 	 506.2 	 	 0.0500 	 1.1579 	 0.5355 	 0.7957	 0.2734
[2022/09/20 07:30:46] - 47 	 507.1 	 	 0.0500 	 1.1572 	 0.5355 	 0.7613	 0.2777
[2022/09/20 07:40:15] - 48 	 501.5 	 	 0.0500 	 1.1553 	 0.5384 	 0.7586	 0.2734
[2022/09/20 07:49:40] - 49 	 496.4 	 	 0.0050 	 1.1532 	 0.5395 	 0.7937	 0.2457
[2022/09/20 07:59:06] - 50 	 498.5 	 	 0.0050 	 1.0139 	 0.6093 	 0.8836	 0.4035
[2022/09/20 08:08:31] - 51 	 497.1 	 	 0.0050 	 0.9041 	 0.6482 	 0.8922	 0.4137
[2022/09/20 08:17:57] - 52 	 497.0 	 	 0.0050 	 0.8517 	 0.6685 	 0.8980	 0.4043
[2022/09/20 08:27:22] - 53 	 497.2 	 	 0.0050 	 0.8040 	 0.6801 	 0.8980	 0.4207
[2022/09/20 08:36:47] - 54 	 497.2 	 	 0.0050 	 0.7632 	 0.6923 	 0.9012	 0.4059
[2022/09/20 08:46:14] - 55 	 498.4 	 	 0.0050 	 0.7302 	 0.7040 	 0.8969	 0.4148
[2022/09/20 08:55:40] - 56 	 497.6 	 	 0.0050 	 0.7005 	 0.7121 	 0.9035	 0.3910
[2022/09/20 09:05:05] - 57 	 495.5 	 	 0.0050 	 0.6726 	 0.7216 	 0.8969	 0.3949
[2022/09/20 09:14:29] - 58 	 496.3 	 	 0.0050 	 0.6452 	 0.7284 	 0.8953	 0.3848
[2022/09/20 09:23:53] - 59 	 496.3 	 	 0.0050 	 0.6329 	 0.7308 	 0.8906	 0.3973
[2022/09/20 09:33:21] - 60 	 499.9 	 	 0.0050 	 0.6135 	 0.7352 	 0.8934	 0.3812
[2022/09/20 09:42:50] - 61 	 500.6 	 	 0.0050 	 0.5984 	 0.7412 	 0.8934	 0.3617
[2022/09/20 09:52:19] - 62 	 500.1 	 	 0.0050 	 0.5843 	 0.7448 	 0.9000	 0.3883
[2022/09/20 10:01:48] - 63 	 501.0 	 	 0.0050 	 0.5778 	 0.7454 	 0.8844	 0.3617
[2022/09/20 10:11:17] - 64 	 500.3 	 	 0.0050 	 0.5610 	 0.7510 	 0.8840	 0.3773
[2022/09/20 10:20:49] - 65 	 503.0 	 	 0.0050 	 0.5517 	 0.7523 	 0.8840	 0.3578
[2022/09/20 10:30:17] - 66 	 498.4 	 	 0.0050 	 0.5424 	 0.7554 	 0.8898	 0.3586
[2022/09/20 10:39:51] - 67 	 504.7 	 	 0.0050 	 0.5327 	 0.7576 	 0.8953	 0.3617
[2022/09/20 10:49:31] - 68 	 510.7 	 	 0.0050 	 0.5288 	 0.7597 	 0.8855	 0.3613
[2022/09/20 10:59:12] - 69 	 511.1 	 	 0.0050 	 0.5196 	 0.7614 	 0.8812	 0.3688
[2022/09/20 11:08:54] - 70 	 512.9 	 	 0.0050 	 0.5076 	 0.7683 	 0.8809	 0.3727
[2022/09/20 11:18:34] - 71 	 510.3 	 	 0.0050 	 0.4963 	 0.7714 	 0.8871	 0.3680
[2022/09/20 11:28:17] - 72 	 513.5 	 	 0.0050 	 0.4825 	 0.7786 	 0.8867	 0.3727
[2022/09/20 11:37:51] - 73 	 504.5 	 	 0.0050 	 0.4810 	 0.7769 	 0.8785	 0.3504
[2022/09/20 11:47:26] - 74 	 506.3 	 	 0.0005 	 0.4800 	 0.7774 	 0.8855	 0.3559
[2022/09/20 11:57:01] - 75 	 504.9 	 	 0.0005 	 0.3912 	 0.8388 	 0.9051	 0.4148
[2022/09/20 12:06:42] - 76 	 511.7 	 	 0.0005 	 0.2895 	 0.8814 	 0.9039	 0.4230
[2022/09/20 12:16:20] - 77 	 507.9 	 	 0.0005 	 0.2530 	 0.8979 	 0.9039	 0.4223
[2022/09/20 12:26:05] - 78 	 514.6 	 	 0.0005 	 0.2262 	 0.9095 	 0.9066	 0.4246
[2022/09/20 12:35:46] - 79 	 511.5 	 	 0.0005 	 0.2084 	 0.9171 	 0.9035	 0.4289
[2022/09/20 12:45:23] - 80 	 507.4 	 	 0.0005 	 0.1932 	 0.9236 	 0.9059	 0.4316
[2022/09/20 12:54:59] - 81 	 505.6 	 	 0.0005 	 0.1800 	 0.9299 	 0.9016	 0.4340
[2022/09/20 13:04:33] - 82 	 504.4 	 	 0.0005 	 0.1696 	 0.9340 	 0.9027	 0.4297
[2022/09/20 13:14:09] - 83 	 506.1 	 	 0.0005 	 0.1585 	 0.9389 	 0.9051	 0.4359
[2022/09/20 13:23:51] - 84 	 512.2 	 	 0.0005 	 0.1491 	 0.9424 	 0.8996	 0.4348
[2022/09/20 13:33:36] - 85 	 514.2 	 	 0.0005 	 0.1408 	 0.9472 	 0.9031	 0.4297
[2022/09/20 13:43:23] - 86 	 516.5 	 	 0.0005 	 0.1357 	 0.9486 	 0.9027	 0.4332
[2022/09/20 13:53:11] - 87 	 519.0 	 	 0.0005 	 0.1266 	 0.9529 	 0.9055	 0.4320
[2022/09/20 14:03:02] - 88 	 519.4 	 	 0.0005 	 0.1200 	 0.9546 	 0.9027	 0.4379
[2022/09/20 14:12:53] - 89 	 520.2 	 	 0.0005 	 0.1137 	 0.9574 	 0.9008	 0.4301
[2022/09/20 14:22:43] - 90 	 519.8 	 	 0.0005 	 0.1081 	 0.9603 	 0.9047	 0.4414
[2022/09/20 14:32:29] - 91 	 516.1 	 	 0.0005 	 0.1065 	 0.9605 	 0.9020	 0.4441
[2022/09/20 14:42:20] - 92 	 520.1 	 	 0.0005 	 0.0993 	 0.9646 	 0.9023	 0.4453
[2022/09/20 14:52:09] - 93 	 518.0 	 	 0.0005 	 0.0972 	 0.9648 	 0.9016	 0.4422
[2022/09/20 15:01:59] - 94 	 519.1 	 	 0.0005 	 0.0906 	 0.9681 	 0.9023	 0.4398
[2022/09/20 15:11:37] - 95 	 507.9 	 	 0.0005 	 0.0876 	 0.9690 	 0.8977	 0.4297
[2022/09/20 15:21:20] - 96 	 513.3 	 	 0.0005 	 0.0833 	 0.9706 	 0.8992	 0.4418
[2022/09/20 15:31:05] - 97 	 514.9 	 	 0.0005 	 0.0775 	 0.9733 	 0.9004	 0.4391
[2022/09/20 15:40:55] - 98 	 519.4 	 	 0.0005 	 0.0759 	 0.9733 	 0.9039	 0.4410
[2022/09/20 15:50:47] - 99 	 521.6 	 	 0.0005 	 0.0728 	 0.9746 	 0.9004	 0.4457
[2022/09/20 15:50:48] - Total train time: 843.3884 minutes
[2022/09/20 15:50:48] - Best checkpoint at 99, 0.445703125
