[2021/03/21 00:00:42] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_pre6', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=6, model='pre', momentum=0.9, out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2021/03/21 00:00:43] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2021/03/21 00:03:27] - 0 	 149.7 	 	 0.0500 	 1.9877 	 0.2568 	 0.4297	 0.2316
[2021/03/21 00:06:09] - 1 	 149.0 	 	 0.0500 	 1.8142 	 0.3163 	 0.4516	 0.2445
[2021/03/21 00:08:52] - 2 	 148.9 	 	 0.0500 	 1.7159 	 0.3499 	 0.5277	 0.2637
[2021/03/21 00:11:34] - 3 	 148.8 	 	 0.0500 	 1.6469 	 0.3769 	 0.5660	 0.2797
[2021/03/21 00:14:16] - 4 	 148.6 	 	 0.0500 	 1.6050 	 0.3934 	 0.5355	 0.2816
[2021/03/21 00:16:58] - 5 	 148.4 	 	 0.0500 	 1.5685 	 0.4072 	 0.5535	 0.2957
[2021/03/21 00:19:40] - 6 	 148.4 	 	 0.0500 	 1.5440 	 0.4173 	 0.5957	 0.2742
[2021/03/21 00:22:22] - 7 	 148.3 	 	 0.0500 	 1.5253 	 0.4244 	 0.5703	 0.2703
[2021/03/21 00:25:03] - 8 	 148.3 	 	 0.0500 	 1.5100 	 0.4270 	 0.6000	 0.2781
[2021/03/21 00:27:45] - 9 	 148.2 	 	 0.0500 	 1.4963 	 0.4351 	 0.5797	 0.3109
[2021/03/21 00:30:27] - 10 	 148.3 	 	 0.0500 	 1.4877 	 0.4389 	 0.6008	 0.2957
[2021/03/21 00:33:08] - 11 	 148.1 	 	 0.0500 	 1.4783 	 0.4419 	 0.6102	 0.3094
[2021/03/21 00:35:50] - 12 	 148.2 	 	 0.0500 	 1.4707 	 0.4445 	 0.5809	 0.3191
[2021/03/21 00:38:32] - 13 	 148.0 	 	 0.0500 	 1.4622 	 0.4493 	 0.5883	 0.2922
[2021/03/21 00:41:13] - 14 	 148.1 	 	 0.0500 	 1.4578 	 0.4492 	 0.5809	 0.2930
[2021/03/21 00:43:55] - 15 	 148.3 	 	 0.0500 	 1.4601 	 0.4478 	 0.6000	 0.3023
[2021/03/21 00:46:37] - 16 	 148.7 	 	 0.0500 	 1.4511 	 0.4521 	 0.5969	 0.2750
[2021/03/21 00:49:19] - 17 	 148.9 	 	 0.0500 	 1.4447 	 0.4552 	 0.5641	 0.2641
[2021/03/21 00:52:02] - 18 	 149.0 	 	 0.0500 	 1.4438 	 0.4562 	 0.6215	 0.3066
[2021/03/21 00:54:44] - 19 	 149.1 	 	 0.0500 	 1.4423 	 0.4560 	 0.5730	 0.2789
[2021/03/21 00:57:27] - 20 	 149.5 	 	 0.0500 	 1.4368 	 0.4572 	 0.6020	 0.3187
[2021/03/21 01:00:10] - 21 	 149.3 	 	 0.0500 	 1.4401 	 0.4565 	 0.5773	 0.2758
[2021/03/21 01:02:53] - 22 	 149.4 	 	 0.0500 	 1.4351 	 0.4603 	 0.5984	 0.2562
[2021/03/21 01:05:36] - 23 	 149.2 	 	 0.0500 	 1.4374 	 0.4567 	 0.6227	 0.2723
