[2022/04/27 00:15:17] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_vgg168', init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='vgg16', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/27 00:15:20] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/04/27 00:17:02] - 0 	 95.1 	 	 0.0100 	 1.8641 	 0.3057 	 0.4441	 0.2426
[2022/04/27 00:18:43] - 1 	 94.2 	 	 0.0100 	 1.7194 	 0.3548 	 0.5141	 0.2918
[2022/04/27 00:20:24] - 2 	 94.3 	 	 0.0100 	 1.6392 	 0.3825 	 0.5523	 0.2938
[2022/04/27 00:22:05] - 3 	 94.5 	 	 0.0100 	 1.5758 	 0.4054 	 0.5516	 0.3027
[2022/04/27 00:23:46] - 4 	 94.4 	 	 0.0100 	 1.5227 	 0.4261 	 0.5871	 0.3141
[2022/04/27 00:25:27] - 5 	 94.3 	 	 0.0100 	 1.4778 	 0.4415 	 0.6109	 0.3469
[2022/04/27 00:27:09] - 6 	 94.4 	 	 0.0100 	 1.4353 	 0.4572 	 0.6258	 0.3582
[2022/04/27 00:28:50] - 7 	 94.3 	 	 0.0100 	 1.4000 	 0.4708 	 0.6613	 0.3422
[2022/04/27 00:30:30] - 8 	 94.2 	 	 0.0100 	 1.3702 	 0.4808 	 0.6309	 0.3438
[2022/04/27 00:32:11] - 9 	 94.3 	 	 0.0100 	 1.3429 	 0.4882 	 0.6652	 0.3500
[2022/04/27 00:33:52] - 10 	 93.6 	 	 0.0100 	 1.3182 	 0.4979 	 0.6742	 0.3328
[2022/04/27 00:35:31] - 11 	 92.9 	 	 0.0100 	 1.2995 	 0.5079 	 0.6859	 0.3609
[2022/04/27 00:37:11] - 12 	 93.0 	 	 0.0100 	 1.2804 	 0.5147 	 0.6762	 0.3512
[2022/04/27 00:38:50] - 13 	 92.9 	 	 0.0100 	 1.2661 	 0.5203 	 0.6719	 0.3598
[2022/04/27 00:40:30] - 14 	 92.9 	 	 0.0100 	 1.2511 	 0.5269 	 0.6344	 0.3523
[2022/04/27 00:42:09] - 15 	 92.9 	 	 0.0100 	 1.2384 	 0.5311 	 0.6961	 0.3535
[2022/04/27 00:43:48] - 16 	 92.8 	 	 0.0100 	 1.2240 	 0.5344 	 0.6941	 0.3590
[2022/04/27 00:45:28] - 17 	 93.0 	 	 0.0100 	 1.2161 	 0.5404 	 0.6867	 0.3742
[2022/04/27 00:47:07] - 18 	 92.8 	 	 0.0100 	 1.2037 	 0.5445 	 0.6836	 0.3785
[2022/04/27 00:48:47] - 19 	 92.9 	 	 0.0100 	 1.1905 	 0.5490 	 0.6949	 0.3871
[2022/04/27 00:50:27] - 20 	 92.8 	 	 0.0100 	 1.1867 	 0.5498 	 0.6789	 0.3508
[2022/04/27 00:52:06] - 21 	 93.0 	 	 0.0100 	 1.1784 	 0.5571 	 0.6949	 0.3848
[2022/04/27 00:53:45] - 22 	 92.8 	 	 0.0100 	 1.1677 	 0.5585 	 0.6797	 0.3574
[2022/04/27 00:55:25] - 23 	 92.9 	 	 0.0100 	 1.1617 	 0.5619 	 0.6633	 0.3355
[2022/04/27 00:57:04] - 24 	 92.9 	 	 0.0010 	 1.1498 	 0.5658 	 0.6707	 0.3758
[2022/04/27 00:58:44] - 25 	 92.9 	 	 0.0010 	 1.3015 	 0.4978 	 0.7719	 0.4500
[2022/04/27 01:00:24] - 26 	 92.9 	 	 0.0010 	 1.2362 	 0.5177 	 0.7773	 0.4578
[2022/04/27 01:02:03] - 27 	 92.9 	 	 0.0010 	 1.2076 	 0.5266 	 0.7859	 0.4527
[2022/04/27 01:03:43] - 28 	 92.9 	 	 0.0010 	 1.1838 	 0.5326 	 0.7871	 0.4504
[2022/04/27 01:05:22] - 29 	 92.9 	 	 0.0010 	 1.1648 	 0.5398 	 0.7891	 0.4516
[2022/04/27 01:07:02] - 30 	 92.9 	 	 0.0010 	 1.1435 	 0.5458 	 0.7859	 0.4523
[2022/04/27 01:08:41] - 31 	 92.9 	 	 0.0010 	 1.1246 	 0.5534 	 0.7883	 0.4527
[2022/04/27 01:10:20] - 32 	 92.8 	 	 0.0010 	 1.1022 	 0.5592 	 0.7984	 0.4512
[2022/04/27 01:12:00] - 33 	 92.8 	 	 0.0010 	 1.0844 	 0.5646 	 0.7859	 0.4531
[2022/04/27 01:13:39] - 34 	 92.9 	 	 0.0010 	 1.0667 	 0.5716 	 0.7918	 0.4594
[2022/04/27 01:15:19] - 35 	 92.8 	 	 0.0010 	 1.0506 	 0.5758 	 0.7914	 0.4523
[2022/04/27 01:16:58] - 36 	 92.9 	 	 0.0010 	 1.0299 	 0.5830 	 0.7855	 0.4535
[2022/04/27 01:18:37] - 37 	 92.7 	 	 0.0010 	 1.0127 	 0.5902 	 0.7926	 0.4480
[2022/04/27 01:20:17] - 38 	 92.8 	 	 0.0010 	 0.9943 	 0.5930 	 0.7965	 0.4469
[2022/04/27 01:21:56] - 39 	 92.7 	 	 0.0001 	 0.9777 	 0.5984 	 0.7941	 0.4465
[2022/04/27 01:23:35] - 40 	 92.8 	 	 0.0001 	 1.0387 	 0.5763 	 0.8082	 0.4574
[2022/04/27 01:25:15] - 41 	 92.9 	 	 0.0001 	 1.0161 	 0.5830 	 0.8090	 0.4512
[2022/04/27 01:26:54] - 42 	 92.8 	 	 0.0001 	 1.0061 	 0.5878 	 0.8051	 0.4602
[2022/04/27 01:28:34] - 43 	 92.7 	 	 0.0001 	 0.9938 	 0.5918 	 0.8051	 0.4590
[2022/04/27 01:30:13] - 44 	 92.8 	 	 0.0001 	 0.9881 	 0.5938 	 0.8055	 0.4625
[2022/04/27 01:31:53] - 45 	 92.9 	 	 0.0001 	 0.9841 	 0.5945 	 0.8117	 0.4543
[2022/04/27 01:33:32] - 46 	 92.9 	 	 0.0001 	 0.9788 	 0.5968 	 0.8066	 0.4484
[2022/04/27 01:35:12] - 47 	 92.8 	 	 0.0001 	 0.9717 	 0.5965 	 0.8016	 0.4484
[2022/04/27 01:36:51] - 48 	 92.9 	 	 0.0001 	 0.9688 	 0.5996 	 0.8094	 0.4496
[2022/04/27 01:38:30] - 49 	 92.8 	 	 0.0001 	 0.9594 	 0.6008 	 0.8094	 0.4539
[2022/04/27 01:38:30] - Total train time: 77.6526 minutes
[2022/04/27 01:38:30] - Best checkpoint at 44, 0.4625
