[2022/04/26 19:55:52] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_vgg164', init_tau=8, lr_max=0.01, lr_min=0.0, lr_schedule='multistep', max_iteration=4, model='vgg16', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/04/26 19:55:55] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/04/26 19:56:48] - 0 	 46.3 	 	 0.0100 	 2.0608 	 0.2360 	 0.4184	 0.2309
[2022/04/26 19:57:41] - 1 	 46.2 	 	 0.0100 	 1.8884 	 0.2883 	 0.4801	 0.2594
[2022/04/26 19:58:34] - 2 	 46.5 	 	 0.0100 	 1.8058 	 0.3179 	 0.5160	 0.2820
[2022/04/26 19:59:27] - 3 	 46.6 	 	 0.0100 	 1.7469 	 0.3399 	 0.5734	 0.3145
[2022/04/26 20:00:20] - 4 	 46.6 	 	 0.0100 	 1.6953 	 0.3578 	 0.6148	 0.3098
[2022/04/26 20:01:14] - 5 	 46.6 	 	 0.0100 	 1.6552 	 0.3703 	 0.6352	 0.3395
[2022/04/26 20:02:07] - 6 	 46.7 	 	 0.0100 	 1.6184 	 0.3854 	 0.6465	 0.3398
[2022/04/26 20:03:00] - 7 	 46.7 	 	 0.0100 	 1.5857 	 0.3946 	 0.6703	 0.3258
[2022/04/26 20:03:53] - 8 	 46.5 	 	 0.0100 	 1.5580 	 0.4034 	 0.6652	 0.3797
[2022/04/26 20:04:47] - 9 	 46.7 	 	 0.0100 	 1.5359 	 0.4116 	 0.6754	 0.3469
[2022/04/26 20:05:40] - 10 	 46.5 	 	 0.0100 	 1.5125 	 0.4192 	 0.6965	 0.3590
[2022/04/26 20:06:33] - 11 	 46.7 	 	 0.0100 	 1.4946 	 0.4265 	 0.6922	 0.3586
[2022/04/26 20:07:27] - 12 	 46.6 	 	 0.0100 	 1.4748 	 0.4311 	 0.7016	 0.3527
[2022/04/26 20:08:20] - 13 	 46.6 	 	 0.0100 	 1.4581 	 0.4400 	 0.7148	 0.3719
[2022/04/26 20:09:13] - 14 	 46.6 	 	 0.0100 	 1.4477 	 0.4431 	 0.7152	 0.3773
[2022/04/26 20:10:06] - 15 	 46.5 	 	 0.0100 	 1.4308 	 0.4478 	 0.7426	 0.3812
[2022/04/26 20:10:59] - 16 	 46.6 	 	 0.0100 	 1.4155 	 0.4519 	 0.7375	 0.3633
[2022/04/26 20:11:52] - 17 	 46.5 	 	 0.0100 	 1.4012 	 0.4563 	 0.7449	 0.3668
[2022/04/26 20:12:46] - 18 	 46.6 	 	 0.0100 	 1.3931 	 0.4568 	 0.7230	 0.3937
[2022/04/26 20:13:39] - 19 	 46.6 	 	 0.0100 	 1.3833 	 0.4620 	 0.7551	 0.3805
[2022/04/26 20:14:32] - 20 	 46.6 	 	 0.0100 	 1.3722 	 0.4651 	 0.7379	 0.3746
[2022/04/26 20:15:25] - 21 	 46.6 	 	 0.0100 	 1.3651 	 0.4670 	 0.7379	 0.3672
[2022/04/26 20:16:18] - 22 	 46.5 	 	 0.0100 	 1.3545 	 0.4693 	 0.7293	 0.3848
[2022/04/26 20:17:12] - 23 	 46.6 	 	 0.0100 	 1.3470 	 0.4729 	 0.7469	 0.3875
[2022/04/26 20:18:05] - 24 	 46.5 	 	 0.0010 	 1.3378 	 0.4767 	 0.7395	 0.3766
[2022/04/26 20:18:58] - 25 	 46.7 	 	 0.0010 	 1.2729 	 0.4986 	 0.8004	 0.4492
[2022/04/26 20:19:51] - 26 	 46.5 	 	 0.0010 	 1.2231 	 0.5148 	 0.8035	 0.4543
[2022/04/26 20:20:45] - 27 	 46.7 	 	 0.0010 	 1.2032 	 0.5209 	 0.8066	 0.4473
[2022/04/26 20:21:38] - 28 	 46.5 	 	 0.0010 	 1.1870 	 0.5260 	 0.8141	 0.4477
[2022/04/26 20:22:31] - 29 	 46.5 	 	 0.0010 	 1.1763 	 0.5290 	 0.8172	 0.4414
[2022/04/26 20:23:24] - 30 	 46.6 	 	 0.0010 	 1.1600 	 0.5343 	 0.8191	 0.4492
[2022/04/26 20:24:17] - 31 	 46.6 	 	 0.0010 	 1.1527 	 0.5382 	 0.8176	 0.4449
[2022/04/26 20:25:11] - 32 	 46.9 	 	 0.0010 	 1.1358 	 0.5417 	 0.8223	 0.4484
[2022/04/26 20:26:04] - 33 	 47.0 	 	 0.0010 	 1.1289 	 0.5429 	 0.8184	 0.4402
[2022/04/26 20:26:58] - 34 	 47.1 	 	 0.0010 	 1.1153 	 0.5502 	 0.8176	 0.4484
[2022/04/26 20:27:51] - 35 	 47.0 	 	 0.0010 	 1.1054 	 0.5512 	 0.8187	 0.4441
[2022/04/26 20:28:45] - 36 	 47.0 	 	 0.0010 	 1.0951 	 0.5536 	 0.8211	 0.4422
[2022/04/26 20:29:39] - 37 	 47.0 	 	 0.0010 	 1.0873 	 0.5575 	 0.8148	 0.4449
[2022/04/26 20:30:32] - 38 	 47.1 	 	 0.0010 	 1.0784 	 0.5606 	 0.8121	 0.4469
[2022/04/26 20:31:26] - 39 	 47.0 	 	 0.0001 	 1.0671 	 0.5615 	 0.8207	 0.4363
[2022/04/26 20:32:20] - 40 	 47.1 	 	 0.0001 	 1.0405 	 0.5714 	 0.8250	 0.4449
[2022/04/26 20:33:13] - 41 	 47.1 	 	 0.0001 	 1.0255 	 0.5758 	 0.8285	 0.4531
[2022/04/26 20:34:07] - 42 	 47.0 	 	 0.0001 	 1.0228 	 0.5756 	 0.8285	 0.4488
[2022/04/26 20:35:01] - 43 	 47.0 	 	 0.0001 	 1.0139 	 0.5798 	 0.8313	 0.4383
[2022/04/26 20:35:54] - 44 	 47.1 	 	 0.0001 	 1.0099 	 0.5815 	 0.8281	 0.4434
[2022/04/26 20:36:48] - 45 	 47.2 	 	 0.0001 	 1.0111 	 0.5843 	 0.8355	 0.4414
[2022/04/26 20:37:42] - 46 	 47.1 	 	 0.0001 	 1.0083 	 0.5831 	 0.8250	 0.4492
[2022/04/26 20:38:36] - 47 	 47.1 	 	 0.0001 	 1.0039 	 0.5831 	 0.8242	 0.4465
[2022/04/26 20:39:30] - 48 	 47.2 	 	 0.0001 	 1.0046 	 0.5830 	 0.8289	 0.4359
[2022/04/26 20:40:23] - 49 	 47.2 	 	 0.0001 	 0.9943 	 0.5868 	 0.8297	 0.4465
[2022/04/26 20:40:23] - Total train time: 38.9536 minutes
[2022/04/26 20:40:23] - Best checkpoint at 26, 0.454296875
