[2022/09/18 12:28:56] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=100, epsilon=8, fname='output_wide6', init_tau=8, lr_max=0.1, lr_min=0.0, lr_schedule='multistep', max_iteration=6, model='wide', momentum=0.9, normalization='std', out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2022/09/18 12:28:59] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2022/09/18 12:42:38] - 0 	 749.2 	 	 0.1000 	 2.0178 	 0.2482 	 0.3375	 0.2031
[2022/09/18 12:56:11] - 1 	 745.9 	 	 0.1000 	 1.8491 	 0.3101 	 0.4387	 0.2836
[2022/09/18 13:09:52] - 2 	 752.3 	 	 0.1000 	 1.7379 	 0.3506 	 0.4078	 0.1957
[2022/09/18 13:23:36] - 3 	 755.5 	 	 0.1000 	 1.6633 	 0.3760 	 0.4918	 0.2441
[2022/09/18 13:37:17] - 4 	 751.8 	 	 0.1000 	 1.6223 	 0.3930 	 0.4922	 0.2637
[2022/09/18 13:51:01] - 5 	 755.0 	 	 0.1000 	 1.5919 	 0.4051 	 0.4586	 0.2238
[2022/09/18 14:03:56] - 6 	 711.3 	 	 0.1000 	 1.5736 	 0.4114 	 0.4930	 0.2746
[2022/09/18 14:16:45] - 7 	 704.4 	 	 0.1000 	 1.5471 	 0.4220 	 0.4207	 0.1938
[2022/09/18 14:29:32] - 8 	 703.5 	 	 0.1000 	 1.5360 	 0.4265 	 0.4195	 0.2215
[2022/09/18 14:42:19] - 9 	 703.1 	 	 0.1000 	 1.5310 	 0.4266 	 0.4930	 0.2551
[2022/09/18 14:55:51] - 10 	 743.5 	 	 0.1000 	 1.5180 	 0.4345 	 0.5129	 0.2453
[2022/09/18 15:09:22] - 11 	 745.6 	 	 0.1000 	 1.5148 	 0.4324 	 0.4910	 0.2246
[2022/09/18 15:22:21] - 12 	 713.5 	 	 0.1000 	 1.5141 	 0.4333 	 0.5711	 0.2750
[2022/09/18 15:36:01] - 13 	 751.0 	 	 0.1000 	 1.5061 	 0.4366 	 0.4863	 0.2367
[2022/09/18 15:49:42] - 14 	 752.2 	 	 0.1000 	 1.5050 	 0.4375 	 0.4863	 0.2672
[2022/09/18 16:03:26] - 15 	 755.4 	 	 0.1000 	 1.5028 	 0.4394 	 0.5223	 0.2453
[2022/09/18 16:17:05] - 16 	 750.7 	 	 0.1000 	 1.5012 	 0.4394 	 0.5398	 0.2594
[2022/09/18 16:30:46] - 17 	 752.1 	 	 0.1000 	 1.5060 	 0.4390 	 0.4922	 0.2523
[2022/09/18 16:44:26] - 18 	 751.5 	 	 0.1000 	 1.5066 	 0.4384 	 0.5164	 0.2301
[2022/09/18 16:58:05] - 19 	 749.6 	 	 0.1000 	 1.5030 	 0.4412 	 0.4785	 0.2309
[2022/09/18 17:11:45] - 20 	 751.6 	 	 0.1000 	 1.5068 	 0.4382 	 0.5391	 0.2422
[2022/09/18 17:25:31] - 21 	 757.9 	 	 0.1000 	 1.4985 	 0.4392 	 0.4977	 0.2156
[2022/09/18 17:39:09] - 22 	 748.2 	 	 0.1000 	 1.4985 	 0.4376 	 0.5746	 0.2605
[2022/09/18 17:52:56] - 23 	 758.5 	 	 0.1000 	 1.4986 	 0.4411 	 0.5078	 0.2930
[2022/09/18 18:06:45] - 24 	 758.7 	 	 0.1000 	 1.4997 	 0.4402 	 0.5133	 0.2293
[2022/09/18 18:20:35] - 25 	 760.3 	 	 0.1000 	 1.5014 	 0.4412 	 0.5695	 0.2730
[2022/09/18 18:34:14] - 26 	 750.3 	 	 0.1000 	 1.4976 	 0.4422 	 0.5336	 0.2582
[2022/09/18 18:47:57] - 27 	 753.8 	 	 0.1000 	 1.4986 	 0.4413 	 0.4777	 0.2418
[2022/09/18 19:01:34] - 28 	 747.4 	 	 0.1000 	 1.5008 	 0.4388 	 0.5203	 0.2801
[2022/09/18 19:15:12] - 29 	 749.8 	 	 0.1000 	 1.4967 	 0.4412 	 0.5078	 0.2391
[2022/09/18 19:28:44] - 30 	 743.9 	 	 0.1000 	 1.4995 	 0.4394 	 0.5609	 0.2664
[2022/09/18 19:42:17] - 31 	 745.3 	 	 0.1000 	 1.4991 	 0.4401 	 0.5188	 0.2574
[2022/09/18 19:55:49] - 32 	 743.6 	 	 0.1000 	 1.5041 	 0.4396 	 0.5520	 0.2805
[2022/09/18 20:09:25] - 33 	 747.1 	 	 0.1000 	 1.5001 	 0.4399 	 0.5543	 0.2645
