[2021/03/21 04:25:06] - Namespace(alpha=8.0, batch_size=128, data_dir='/mnt/storage0_8/torch_datasets/cifar-data', delta_init='zero', epochs=50, epsilon=8, fname='output_pre8', init_tau=8, lr_max=0.05, lr_min=0.0, lr_schedule='multistep', max_iteration=8, model='pre', momentum=0.9, out_dir='free_out', save_model=True, seed=0, weight_decay=0.0005, wide_factor=10)
[2021/03/21 04:25:07] - Epoch 	 Seconds 	 LR 	 	 Train Loss 	 Train Acc 	 Val Acc 	 CW Acc
[2021/03/21 04:28:36] - 0 	 195.5 	 	 0.0500 	 1.9189 	 0.2849 	 0.4277	 0.2195
[2021/03/21 04:32:04] - 1 	 195.1 	 	 0.0500 	 1.7420 	 0.3476 	 0.3961	 0.2129
[2021/03/21 04:35:33] - 2 	 195.2 	 	 0.0500 	 1.6385 	 0.3858 	 0.5004	 0.2328
[2021/03/21 04:39:01] - 3 	 194.9 	 	 0.0500 	 1.5693 	 0.4147 	 0.5457	 0.2641
[2021/03/21 04:42:30] - 4 	 195.1 	 	 0.0500 	 1.5221 	 0.4332 	 0.4809	 0.2574
[2021/03/21 04:45:58] - 5 	 195.0 	 	 0.0500 	 1.4899 	 0.4467 	 0.5234	 0.2539
[2021/03/21 04:49:26] - 6 	 195.2 	 	 0.0500 	 1.4681 	 0.4552 	 0.5574	 0.2555
[2021/03/21 04:52:55] - 7 	 195.1 	 	 0.0500 	 1.4540 	 0.4609 	 0.5551	 0.2539
[2021/03/21 04:56:23] - 8 	 195.1 	 	 0.0500 	 1.4349 	 0.4684 	 0.5570	 0.2641
[2021/03/21 04:59:51] - 9 	 195.0 	 	 0.0500 	 1.4248 	 0.4736 	 0.5238	 0.2492
[2021/03/21 05:03:19] - 10 	 195.0 	 	 0.0500 	 1.4206 	 0.4775 	 0.5508	 0.2574
[2021/03/21 05:06:48] - 11 	 195.0 	 	 0.0500 	 1.4142 	 0.4791 	 0.5461	 0.2656
[2021/03/21 05:10:16] - 12 	 195.0 	 	 0.0500 	 1.4031 	 0.4828 	 0.5605	 0.2801
[2021/03/21 05:13:44] - 13 	 195.0 	 	 0.0500 	 1.3973 	 0.4864 	 0.5328	 0.2668
[2021/03/21 05:17:13] - 14 	 195.0 	 	 0.0500 	 1.3954 	 0.4857 	 0.5582	 0.3035
